UID,Versuchsjahr,ParzNrFeld,Probe,Datum,LAP,NAG,GLS,MUP,MUX,Comments,NH4,NO3,S,Plot_Label,WiederholungNr,Kultur,Verfahren,Total_Ertrag_HP_TS_kg_a,Total_N_Entzug_kg_ha,Total_P_Entzug_kg_ha,Total_OS_Prod_kg_ha
2025_12,2025,12,A,2025-09-11,0,8.6409,24.3542,58.6685,12.7901,NA,0.3,0.2,NA,NA,NA,NA,Null,NA,NA,NA,NA
2025_12,2025,12,A,2025-05-15,0,3.4717,15.4962,30.1242,1.9555,NA,0.16,1.78,0.06,NA,NA,NA,Null,NA,NA,NA,NA
2025_12,2025,12,B,2025-09-11,NA,NA,NA,NA,NA,"Image alignment failed. EMPTY FOLDER POSSILBLE UPLOAD ERROR, TRY AGAIN",0.3,0.09,NA,NA,NA,NA,Null,NA,NA,NA,NA
2025_12,2025,12,B,2025-06-12,0,3.6693,15.4025,34.2567,2.9353,Well C4_MUP is contaminated. Well D4_MUP is contaminated.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025_12,2025,12,B,2025-05-15,0,4.3757,10.4645,41.4323,1.5342,NA,0.17,1.32,0.38,NA,NA,NA,Null,NA,NA,NA,NA
2025_13,2025,13,A,2025-06-12,0,4.2784,23.2586,48.9213,4.0424,Well D3_GLS is contaminated.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025_13,2025,13,B,2025-05-15,0,2.6427,16.3035,35.9019,2.1273,NA,0.17,2.41,0.63,NA,NA,NA,"St,mist",NA,NA,NA,NA
2025_15,2025,15,A,2025-07-10,0,6.8771,22.3655,44.4758,5.4316,NA,1.15,3.89,NA,NA,NA,NA,NPK,NA,NA,NA,NA
2025_15,2025,15,B,2025-08-07,0,3.6308,17.6209,43.8086,2.0594,NA,0.1,0.81,NA,NA,NA,NA,NPK,NA,NA,NA,NA
2025_15,2025,15,B,2025-05-15,0,3.7065,12.4486,32.482,1.8045,NA,0.24,2.14,2.41,NA,NA,NA,NPK,NA,NA,NA,NA
2025_16,2025,16,A,2025-09-11,8.1629,3.491,22.4309,48.4215,10.6022,NA,0.29,0.55,NA,NA,NA,NA,"R,gülle",NA,NA,NA,NA
2025_16,2025,16,A,2025-08-07,0,4.8207,17.9159,40.9297,8.0323,NA,0,0.61,NA,NA,NA,NA,"R,gülle",NA,NA,NA,NA
2025_16,2025,16,A,2025-05-15,0,5.955,16.3975,47.0206,2.8561,Well C4_MUP is contaminated.,0.15,2.03,0.38,NA,NA,NA,"R,gülle",NA,NA,NA,NA
2025_16,2025,16,B,2025-09-11,0.3877,7.7128,30.4313,67.2234,11.5617,NA,0.05,0.53,NA,NA,NA,NA,"R,gülle",NA,NA,NA,NA
2025_16,2025,16,B,2025-06-12,0,2.5355,13.6277,42.2774,1.7139,Well E2_NAG is contaminated.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025_16,2025,16,B,2025-07-10,12.0752,6.807,20.1063,51.2147,5.6731,NA,0.04,3.29,NA,NA,NA,NA,"R,gülle",NA,NA,NA,NA
2025_1,2025,1,B,2025-08-07,5.0444,3.7147,12.7982,59.5114,3.3921,NA,0.01,0.48,NA,NA,NA,NA,PK,NA,NA,NA,NA
2025_1,2025,1,B,2025-06-12,4.4164,4.2977,7.0945,38.4082,4.9171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025_4,2025,4,A,2025-08-07,0.4622,3.3121,12.2022,31.1223,6.6899,NA,0,1.01,NA,NA,NA,NA,Null,NA,NA,NA,NA
