UID,Versuchsjahr,ParzNrFeld,Probe,Datum,LAP,NAG,GLS,MUP,MUX,Comments,NH4,NO3,S,Plot_Label,WiederholungNr,Kultur,Verfahren,SaatTag_DOY,SaatTag_Date,Total_N_fert_kg_ha,Total_Ertrag_HP_TS_kg_a,Total_N_Entzug_kg_ha,Total_P_Entzug_kg_ha,Total_OS_Prod_kg_ha,t2,t1,Nmin_Total,Delta_Nmin,Cum_Precip_mm,Cum_GDD_Interval,Cum_GDD_t1,Cum_GDD_t2,N_up_t1,N_up_t2,Interval_N_Entzug_kg_ha,LTE,date,year,plot_nr,treatment,crop,rep,Ntot,delta_nmin,yield,yield_type,yield_unit
2025_1,2025,1,A,2025-05-15,3.5939,3.7058,16.5339,60.4118,1.9011,NA,0.13,1.45,3.52,NA,NA,NA,PK,137.33333333333334,2025-05-17,NA,NA,235.728724,NA,NA,2025-05-15,2025-05-17,1.58,NA,0,0,0,0,0.029087645945755445,0.029087645945755445,0,DEMO,2025-05-15,2025,1,PK,NA,A,1.58,NA,NA,total_hp_ts,kg/a
2025_1,2025,1,A,2025-06-12,6.6118,5.6106,17.491,42.818,3.2271,NA,0.03,1.35,NA,NA,NA,NA,PK,137.33333333333334,2025-05-17,NA,NA,235.728724,NA,NA,2025-06-12,2025-05-15,1.3800000000000001,-0.19999999999999996,130.6,267.7,0,254.9,0.029087645945755445,0.6180760601814871,0.5889884142357317,DEMO,2025-06-12,2025,1,PK,NA,A,1.3800000000000001,-0.19999999999999996,NA,total_hp_ts,kg/a
2025_1,2025,1,A,2025-07-10,12.6199,5.9156,14.7776,50.1296,6.7816,NA,0.06,1.31,NA,NA,NA,NA,PK,137.33333333333334,2025-05-17,NA,NA,235.728724,NA,NA,2025-07-10,2025-06-12,1.37,-0.010000000000000009,64.3,450.1,254.9,705,0.6180760601814871,86.79238895971378,86.17431289953228,DEMO,2025-07-10,2025,1,PK,NA,A,1.37,-0.010000000000000009,NA,total_hp_ts,kg/a
2025_1,2025,1,A,2025-08-07,7.4839,5.9105,21.3853,65.613,2.7171,NA,0,0.5,NA,NA,NA,NA,PK,137.33333333333334,2025-05-17,NA,NA,235.728724,NA,NA,2025-08-07,2025-07-10,0.5,-0.8700000000000001,162.4,337.8,705,1042.8,86.79238895971378,228.90962550780745,142.11723654809367,DEMO,2025-08-07,2025,1,PK,NA,A,0.5,-0.8700000000000001,NA,total_hp_ts,kg/a
2025_1,2025,1,A,2025-09-11,30.3163,8.9312,30.4617,68.6878,14.3401,NA,0.09,0.4,NA,NA,NA,NA,PK,137.33333333333334,2025-05-17,NA,NA,235.728724,NA,NA,2025-09-11,2025-08-07,0.49,-0.010000000000000009,173.4,451.6,1042.8,1494.4,228.90962550780745,235.69761475726608,6.787989249458633,DEMO,2025-09-11,2025,1,PK,NA,A,0.49,-0.010000000000000009,NA,total_hp_ts,kg/a
2025_1,2025,1,B,2025-05-15,7.1596,5.1496,20.2507,66.4168,3.3167,NA,0.15,1.82,1.61,NA,NA,NA,PK,137.33333333333334,2025-05-17,NA,NA,235.728724,NA,NA,2025-05-15,2025-05-17,1.97,NA,0,0,0,0,0.029087645945755445,0.029087645945755445,0,DEMO,2025-05-15,2025,1,PK,NA,B,1.97,NA,NA,total_hp_ts,kg/a
2025_1,2025,1,B,2025-06-12,4.4164,4.2977,7.0945,38.4082,4.9171,NA,0.01,1.37,NA,NA,NA,NA,PK,137.33333333333334,2025-05-17,NA,NA,235.728724,NA,NA,2025-06-12,2025-05-15,1.3800000000000001,-0.5899999999999999,130.6,267.7,0,254.9,0.029087645945755445,0.6180760601814871,0.5889884142357317,DEMO,2025-06-12,2025,1,PK,NA,B,1.3800000000000001,-0.5899999999999999,NA,total_hp_ts,kg/a
2025_1,2025,1,B,2025-07-10,0,2.7732,9.469,46.7766,1.528,NA,0.01,1.98,NA,NA,NA,NA,PK,137.33333333333334,2025-05-17,NA,NA,235.728724,NA,NA,2025-07-10,2025-06-12,1.99,0.6099999999999999,64.3,450.1,254.9,705,0.6180760601814871,86.79238895971378,86.17431289953228,DEMO,2025-07-10,2025,1,PK,NA,B,1.99,0.6099999999999999,NA,total_hp_ts,kg/a
2025_1,2025,1,B,2025-08-07,5.0444,3.7147,12.7982,59.5114,3.3921,NA,0.01,0.48,NA,NA,NA,NA,PK,137.33333333333334,2025-05-17,NA,NA,235.728724,NA,NA,2025-08-07,2025-07-10,0.49,-1.5,162.4,337.8,705,1042.8,86.79238895971378,228.90962550780745,142.11723654809367,DEMO,2025-08-07,2025,1,PK,NA,B,0.49,-1.5,NA,total_hp_ts,kg/a
2025_1,2025,1,B,2025-09-11,11.4864,10.4064,41.3305,81.2329,15.1203,NA,0.39,0.62,NA,NA,NA,NA,PK,137.33333333333334,2025-05-17,NA,NA,235.728724,NA,NA,2025-09-11,2025-08-07,1.01,0.52,173.4,451.6,1042.8,1494.4,228.90962550780745,235.69761475726608,6.787989249458633,DEMO,2025-09-11,2025,1,PK,NA,B,1.01,0.52,NA,total_hp_ts,kg/a
2025_12,2025,12,A,2025-05-15,0,3.4717,15.4962,30.1242,1.9555,NA,0.16,1.78,0.06,NA,NA,NA,Null,129.66666666666666,2025-05-09,NA,NA,83.46134273713884,NA,NA,2025-05-15,2025-05-09,1.94,NA,1.9,45.2,0,45.2,0.010298676998290807,0.01771349155552494,0.007414814557234133,DEMO,2025-05-15,2025,12,Null,NA,A,1.94,NA,NA,total_hp_ts,kg/a
2025_12,2025,12,A,2025-06-12,0,4.491,11.4734,32.2861,1.7765,NA,0.05,1.46,NA,NA,NA,NA,Null,129.66666666666666,2025-05-09,NA,NA,83.46134273713884,NA,NA,2025-06-12,2025-05-15,1.51,-0.42999999999999994,130.6,267.7,45.2,312.90000000000003,0.01771349155552494,0.4377639892118852,0.42005049765636027,DEMO,2025-06-12,2025,12,Null,NA,A,1.51,-0.42999999999999994,NA,total_hp_ts,kg/a
