BOB,ID,Site,Crop,Year,PLZ,Date,Treatment,Depth,Rep,LAP,NAG,GLS,MUP,MUX,date,year,plot_nr,crop,treatment,depth,rep,NH4,NO3,Ntot,yield,yield_type,yield_unit,LTE
BOB_05,698KM253206T1empfohlen60,698,KM,25,3206,T1,empfohlen,60,NA,NA,54.045,304.924,831.166,NA,T1,25,698,KM,empfohlen,60,NA,1.6,7.4,119.1,NA,NA,NA,Fields25
BOB_05,698KM253206T1ueblich30,698,KM,25,3206,T1,ueblich,30,NA,NA,36.015,163.389,53.345,25.234,T1,25,698,KM,ueblich,30,NA,1.3,0,72,NA,NA,NA,Fields25
BOB_06,698KM253206T1empfohlen30,698,KM,25,3206,T1,empfohlen,30,NA,NA,98.774,449.602,877.889,64.048,T1,25,698,KM,empfohlen,30,NA,0.5,15.1,119.1,NA,NA,NA,Fields25
BOB_06,698KM253206T1ueblich60,698,KM,25,3206,T1,ueblich,60,NA,NA,84.003,268.792,57.513,43.989,T1,25,698,KM,ueblich,60,NA,1.7,9,72,NA,NA,NA,Fields25
BOB_09,698KM253206T1null30,698,KM,25,3206,T1,null,30,NA,NA,167.541,407.971,NA,54.338,T1,25,698,KM,null,30,NA,1.5,11.4,110.2,NA,NA,NA,Fields25
BOB_09,698KM253206T1null60,698,KM,25,3206,T1,null,60,NA,NA,5.709,96.002,80.464,48.128,T1,25,698,KM,null,60,NA,1.6,7.9,110.2,NA,NA,NA,Fields25
BOB_05,698KM253206T2empfohlen30,698,KM,25,3206,T2,empfohlen,30,NA,NA,67.075,362.321,801.423,4.006,T2,25,698,KM,empfohlen,30,NA,1.8,19.6,155.2,NA,NA,NA,Fields25
BOB_05,698KM253206T2null30,698,KM,25,3206,T2,null,30,NA,NA,64.958,366.626,832.266,84.838,T2,25,698,KM,null,30,NA,1.1,9.7,94.6,NA,NA,NA,Fields25
BOB_06,698KM253206T2null60,698,KM,25,3206,T2,null,60,NA,NA,58.137,158.145,723.981,38.303,T2,25,698,KM,null,60,NA,0.3,6.9,94.6,NA,NA,NA,Fields25
BOB_06,698KM253206T2ueblich60,698,KM,25,3206,T2,ueblich,60,NA,NA,108.348,445.399,869.105,46.226,T2,25,698,KM,ueblich,60,NA,0.4,12.1,251.5,NA,NA,NA,Fields25
BOB_09,698KM253206T2empfohlen60,698,KM,25,3206,T2,empfohlen,60,NA,NA,104.706,192.148,666.965,38.984,T2,25,698,KM,empfohlen,60,NA,0.7,10.3,155.2,NA,NA,NA,Fields25
BOB_09,698KM253206T2ueblich30,698,KM,25,3206,T2,ueblich,30,NA,NA,125.046,41.01,668.436,68.487,T2,25,698,KM,ueblich,30,NA,1.5,41.3,251.5,NA,NA,NA,Fields25
BOB_05,698KM253206T3empfohlen30,698,KM,25,3206,T3,empfohlen,30,NA,NA,51.178,191.541,192.549,29.151,T3,25,698,KM,empfohlen,30,NA,0.8,8.7,97.2,NA,NA,NA,Fields25
BOB_05,698KM253206T3null60,698,KM,25,3206,T3,null,60,NA,NA,NA,124.875,749.868,27.704,T3,25,698,KM,null,60,NA,0.9,5.8,65.7,NA,NA,NA,Fields25
