project_sample_id;LEU (pmol min-1);GLA (pmol min-1);GLS  (pmol min-1);PHO (pmol min-1);XYL (pmol min-1);
DL;7;2;2;7;1;
BOB_05-101Ernteempfohlen30cm-1;70.757;3.439;63.587;734.334;29.178;
BOB_05-101ErnteHofduenger60cm;<DL;31.182;103.757;360.273;20.662;
BOB_05-101Erntenull60cm;<DL;32.601;56.066;321.589;16.407;
BOB_06-101Ernteempfohlen60cm;<DL;29.765;53.716;262.354;19.244;
BOB_06-101Ernteueblich30cm;139.453;44.942;151.445;464.279;36.683;
BOB_09-101ErnteHofduenger30cm;19.18;43.799;122.708;828.743;41.172;
BOB_09-101Erntenull30cm;<DL;77.537;284.558;738.131;42.584;
BOB_09-101Ernteueblich60cm;94.323;3.178;37.358;294.935;25.022;
BOB_05-Senn_WW25_Saat_empfohlen_30;<DL;33.301;104.856;500.869;27.353;
BOB_05-Senn_WW25_Saat_guelle_30;<DL;31.098;81.842;263.792;21.368;
BOB_05-Senn_WW25_Saat_null_30;76.383;35.773;123.348;554.662;29.317;
BOB_05-Senn_WW25_Saat_ueblich_30;72.429;40.337;103.632;400.651;Feb 77;
BOB_06-Senn_WW25_Saat_empfohlen_60;<DL;23.071;31.705;216.779;1.737;
BOB_06-Senn_WW25_Saat_guelle_60;<DL;34.583;25.707;135.784;15.862;
BOB_06-Senn_WW25_Saat_null_60;<DL;42.098;33.215;122.547;17.139;
BOB_06-Senn_WW25_Saat_ueblich_60;<DL;<DL;33.632;246.323;13.792;
BOB_09-Senn_WW25_Saat_empfohlen_90;<DL;<DL;21.628;34.7;17.967;
BOB_09-Senn_WW25_Saat_guelle_90;<DL;<DL;<DL;<DL;11.475;
BOB_09-Senn_WW25_Saat_null_90;<DL;21.141;3.843;375.655;18.615;
BOB_09-Senn_WW25_Saat_ueblich_90;<DL;<DL;<DL;268.318;12.137;
BOB_05-Senn_WW25_T1_empfohlen_30;<DL;29.228;167.612;564.519;18.071;
BOB_05-Senn_WW25_T1_hofduenger_30;<DL;3.506;93.525;39.117;21.976;
BOB_05-Senn_WW25_T1_null_30;<DL;48.115;127.953;456.312;24.105;
BOB_05-Senn_WW25_T1_ueblich_30;80.662;41.866;13.309;478.773;28.706;
BOB_06-Senn_WW25_T1_empfohlen_60;<DL;<DL;37.005;23.859;14.529;
BOB_06-Senn_WW25_T1_hofduenger_60;<DL;22.517;41.249;198.823;14.247;
BOB_06-Senn_WW25_T1_null_60;<DL;22.498;48.126;34.54;15.364;
BOB_06-Senn_WW25_T1_ueblich_60;<DL;24.045;32.428;25.643;13.175;
BOB_09-Senn_WW25_T1_empfohlen_90;<DL;23.996;43.146;294.769;19.456;
BOB_09-Senn_WW25_T1_hofduenger_90;<DL;27.381;35.138;47.431;22.506;
BOB_09-Senn_WW25_T1_null_90;<DL;23.538;3.641;532.895;2.212;
BOB_09-Senn_WW25_T1_ueblich_90;<DL;76.631;35.837;417.998;23.483;
BOB_05-101WW259469T3null30cm;208.437;74.178;224.886;629.775;45.067;
BOB_05-101WW259469T3ueblich30cm;185.886;51.804;143.297;564.563;43.782;
BOB_05-101WW259469T3ueblich60cm%3F%3F;<DL;27.044;64.351;37.485;1.963;
BOB_06-101WW259469T3empfohlen60cm;145.868;36.185;78.756;345.798;24.924;
BOB_06-101WW259469T3null60cm;97.996;30.732;52.054;401.905;23.242;
BOB_09-101WW259469T3empfohlen30cm;198.016;53.032;197.123;581.603;49.015;
BOB_09-101WW259469T3hofduenger30cm;253.049;75.642;213.684;639.416;55.857;
