Kunde;Projekt;Auftrag;Charge;Probenahme;Pruefplan;Probenummer;Analysedatum;Ton;Schluff;Humus;Kalkvorprobe;Humus;Beurteilung Humus;Skelettgehalt;Skelettgehalt;Humus;Ton;Schluff;Bodenart-Faktor;Beurteilung Bodenart;Nitrat;Ammonium;Probentiefe;Schichtfaktor;Wassergehalt;Nitrat;Ammonium;NMin;NMin pro Schicht;Ton;Schluff;Humus;Kalkvorprobe;Humus;Beurteilung Humus;Skelettgehalt;Skelettgehalt;Humus;Ton;Schluff;Bodenart-Faktor;Beurteilung Bodenart;Nitrat;Ammonium;Probentiefe;Schichtfaktor;Wassergehalt;Nitrat;Ammonium;NMin;NMin pro Schicht;Ton;Schluff;Humus;Kalkvorprobe;Humus;Beurteilung Humus;Skelettgehalt;Skelettgehalt;Humus;Ton;Schluff;Bodenart-Faktor;Beurteilung Bodenart;Nitrat;Ammonium;Probentiefe;Schichtfaktor;Wassergehalt;Nitrat;Ammonium;NMin;NMin pro Schicht;NMin Gesamtgehalt
;;;;;;;;% G/G;% G/G;% G/G;;%;;-;;% G/G;% G/G;% G/G;-;;ppm;ppm;;-;%;ppm;ppm;mg/kg TS;kg N/ha;% G/G;% G/G;% G/G;;%;;-;;% G/G;% G/G;% G/G;-;;ppm;ppm;;-;%;ppm;ppm;mg/kg TS;kg N/ha;% G/G;% G/G;% G/G;;%;;-;;% G/G;% G/G;% G/G;-;;ppm;ppm;;-;%;ppm;ppm;mg/kg TS;kg N/ha;kg N/ha
518834;;120270;700KM258617T1null;;16;12027001;19.05.2025;36;31;2;-;2;schwach humos;1;frei / arm;2;36;31;12;toniger Lehm;5.65;0.16;0 - 30 cm;3.8;25.6;30.4;0.9;31.2;117;31;21;1.5;-;1.5;humusarm;3;skelettreich;1.5;31;21;12;toniger Lehm;2.11;0.3;30 - 60 cm;2.3;19.2;10.5;1.5;12;28;;;;;;;;;;;;;;;;;;;;;;;145
518834;;120270;700KM258617T1ueblich;;16;12027002;19.05.2025;26;31;4;-;4;schwach humos;1;frei / arm;4;26;31;4;Lehm;7.99;0.26;0 - 30 cm;3.8;27.5;44.1;1.4;45.5;170.7;26;21;2.5;-;2.5;schwach humos;3;skelettreich;2.5;26;21;4;Lehm;3.27;0.38;30 - 60 cm;2.3;17.5;15.8;1.8;17.7;41.3;;;;;;;;;;;;;;;;;;;;;;;212
518834;;120270;700KM258617T1empfohlen;;16;12027003;19.05.2025;26;11;1;-;1;humusarm;1;frei / arm;1;26;11;4;Lehm;2.23;0.28;0 - 30 cm;3.8;15.2;10.5;1.3;11.8;44.3;31;31;2;-;2;schwach humos;3;skelettreich;2;31;31;12;toniger Lehm;5.56;0.28;30 - 60 cm;2.3;25.9;30;1.5;31.5;73.8;;;;;;;;;;;;;;;;;;;;;;;118.1
518834;;120269;698KM253206T1null;;17;12026901;19.05.2025;16;21;2;-;2;schwach humos;1;frei / arm;2;16;21;6;sandiger Lehm;2.32;0.31;0 - 30 cm;3.8;18.8;11.4;1.5;13;48.6;16;21;2;-;2;schwach humos;1;frei / arm;2;16;21;6;sandiger Lehm;1.66;0.35;30 - 60 cm;3.9;16.2;7.9;1.6;9.6;37.4;11;21;1.5;-;1.5;humusarm;1;frei / arm;1.5;11;21;7;stark lehmiger Sand;0.71;0.55;60 - 90 cm;4.1;15.6;3.4;2.6;6;24.2;110.2
518834;;120269;698KM253206T1ueblich;;17;12026902;19.05.2025;11;21;2.5;-;2.5;schwach humos;1;frei / arm;2.5;11;21;7;stark lehmiger Sand;0.01;0.26;0 - 30 cm;3.8;19.1;0;1.3;1.3;5.1;11;11;2.5;-;2.5;schwach humos;1;frei / arm;2.5;11;11;7;stark lehmiger Sand;1.9;0.36;30 - 60 cm;3.9;16.2;9;1.7;10.8;42;16;21;1.5;-;1.5;humusarm;1;frei / arm;1.5;16;21;6;sandiger Lehm;0.91;0.39;60 - 90 cm;4.1;15.5;4.3;1.8;6.1;24.9;72
518834;;120269;698KM253206T1empfohlen;;17;12026903;19.05.2025;11;21;2.5;-;2.5;schwach humos;1;frei / arm;2.5;11;21;7;stark lehmiger Sand;3.09;0.11;0 - 30 cm;3.8;18.4;15.1;0.5;15.7;58.8;16;21;2;-;2;schwach humos;1;frei / arm;2;16;21;6;sandiger Lehm;1.56;0.33;30 - 60 cm;3.9;16.1;7.4;1.6;9;35.1;11;21;2.5;-;2.5;schwach humos;1;frei / arm;2.5;11;21;7;stark lehmiger Sand;0.98;0.33;60 - 90 cm;4.1;16;4.7;1.6;6.2;25.2;119.1
518834;;120151;699KM251562T1null;;17;12015101;12.05.2025;21;31;2;-;2;schwach humos;1;frei / arm;2;21;31;4;Lehm;3.45;0.01;0 - 30 cm;3.8;23.6;18;0.1;18.1;67.9;26;31;1.5;-;1.5;humusarm;1;frei / arm;1.5;26;31;4;Lehm;2.89;0.01;30 - 60 cm;3.9;22.2;14.8;0.1;14.9;58.1;26;31;1.5;-;1.5;humusarm;2;skeletthaltig;1.5;26;31;4;Lehm;0.92;0.01;60 - 90 cm;3.2;21.9;4.7;0.1;4.8;15.4;141.3
518834;;120151;699KM251562T1ueblich;;17;12015102;12.05.2025;26;31;1.5;-;1.5;humusarm;1;frei / arm;1.5;26;31;4;Lehm;3.17;0.01;0 - 30 cm;3.8;23.2;16.5;0.1;16.6;62.1;26;31;1.5;-;1.5;humusarm;2;skeletthaltig;1.5;26;31;4;Lehm;2.15;0.01;30 - 60 cm;3.1;18.5;10.6;0;10.6;33.1;16;21;1.5;-;1.5;humusarm;2;skeletthaltig;1.5;16;21;6;sandiger Lehm;0.91;0.01;60 - 90 cm;3.2;21.1;4.6;0.1;4.6;15;110.3
518834;;120151;699KM251562T1empfohlen;;17;12015103;12.05.2025;26;31;1.5;-;1.5;humusarm;1;frei / arm;1.5;26;31;4;Lehm;3.39;0.01;0 - 30 cm;3.8;22.5;17.5;0.1;17.5;65.7;26;31;1.5;-;1.5;humusarm;2;skeletthaltig;1.5;26;31;4;Lehm;2.49;0.01;30 - 60 cm;3.1;21.6;12.7;0.1;12.8;39.8;16;21;1.5;-;1.5;humusarm;2;skeletthaltig;1.5;16;21;6;sandiger Lehm;0.87;0.01;60 - 90 cm;3.2;21.3;4.4;0.1;4.5;14.5;120.1
