Report_ID;Sample_Name;Betrieb;Treatment;Trockensubstanz_TS (g);Rohasche_RA (g);Rohprotein_RP (g);Protein löslich_Prot. los. (%);verdauliches Lysin_v-Lys (g);verdaulich Methionin_v-Met (g);Rohfett_RL (g);Zucker_ZU (g);Starke Total_ST (g);By-pass Starke_BypST (g);Chlorid_Cl (g);Rohfaser_RF (g);Neutral Detergent Fiber_NDF (g);Verdaulichkeit NDF_vNDF (%);Acid Detergent Fiber_ADF (g);Acid Detergent Lignin_ADL (g);Verdaulichkeit organische Substanz_vOS% (g);Nettoenergie Laktation_NEL (g);Nettoenergie Wachstum_NEV (g);Abs. Protein im Darm - Energie_APDE (g);Abs. Protein im Darm - Rohprotein_APDN (g);Glukogenindex_G-Index (g)
25-1278;25_OpF_10;Rupper;null;388;33;49;37;3.1;1.3;32;20;427;107;2.3;156;367;62.1;189;13;78.8;7.1;7.4;65.2;30.4;
25-1279;25_OpF_11;Rupper;ueblich;402;31;69;30;3.4;1.4;37;14;468;117;1.5;137;341;57.8;162;14;78.2;7;7.4;67.5;42.8;
25-1280;25_OpF_12;Rupper;empfohlen;402;37;65;32;3.5;1.4;35;14;404;101;2;162;375;58.7;191;14;77.5;6.9;7.2;67.3;40.3;
25-1281;25_OpF_13;Posieux;null;372;27;53;41;3.5;1.4;32;39;438;109;1.9;148;353;62.3;173;12;80.2;7.3;7.7;67.3;32.9;
25-1282;25_OpF_14;Posieux;ueblich;396;26;63;40;3.6;1.5;33;39;440;110;1.5;146;349;59.6;177;13;79.4;7.2;7.6;68.7;39.1;
25-1283;25_OpF_15;Posieux;empfohlen;381;28;54;40;3.5;1.4;31;37;430;;1.8;154;358;60.6;184;13;79.9;7.2;7.6;77.5;33.5;107
25-1284;25_OpF_16;Bachmann;null;427;31;59;38;3.1;1.3;38;13;452;113;1.6;144;332;57.5;179;12;79;7.1;7.5;66.8;36.6;
25-1285;25_OpF_16;Bachmann;ueblich;464;33;65;36;3.3;1.4;36;12;445;111;1.7;149;340;56.5;185;13;78.2;7;7.4;67.9;40.3;
25-1286;25_OpF_18;Bachmann;empfohlen;472;33;64;38;3.2;1.3;35;12;451;113;1.7;139;325;56.9;174;13;78.6;7;7.4;68.1;39.7;
25-1287;25_OpF_19;Steinmann;null;470;24;62;41;3.4;1.4;27;14;424;104;1.3;150;362;58;191;13;78.5;7.1;7.5;69.8;38.5;
25-1288;25_OpF_20;Steinmann;ueblich;427;27;73;41;3.7;1.5;31;12;421;105;1.4;150;353;57.8;185;12;79.3;7.2;7.6;71.5;45.3;
25-1289;25_OpF_21;Steinmann;empfohlen;441;28;58;45;3.3;1.4;27;12;387;97;0.9;170;403;58.3;225;14;77;6.9;7.2;67.7;36;
25-1290;25_OpF_22;Herrmann;null;390;34;46;40;3;1.3;27;17;377;94.3;1.8;192;413;61;228;16;75;6.6;6.9;62.8;28.5;
25-1291;25_OpF_23;Herrmann;ueblich;410;34;48;47;3;1.3;25;12;362;90.5;1.5;194;428;58.2;236;16;73.7;6.5;6.7;62.8;29.8;
25-1292;25_OpF_24;Herrmann;empfohlen;384;31;52;43;3.1;1.3;30;13;408;102;1.8;180;381;56.2;215;13;76;6.8;7;64;32.3;
25-1293;25_OpF_25;Flury;null;452;30;70;36;3.5;1.5;36;13;433;108;1.8;146;345;59.4;181;15;78.5;7;7.4;69.5;43.4;
25-1294;25_OpF_26;Flury;ueblich;414;31;77;37;3.7;1.5;34;12;411;102;2.4;154;356;59.6;186;13;78.1;7;7.4;70.8;47.8;
25-1295;25_OpF_27;Flury;empfohlen;429;30;79;36;3.7;1.5;35;12;462;115;1.4;133;314;59.2;170;12;80;7.2;7.6;71.9;49;
25-1296;25_OpF_28;Senn;null;394;37;68;42;3.5;1.5;26;32;395;98.8;1.5;171;370;53;211;15;76.1;6.7;7;67.6;42.2;
25-1297;25_OpF_29;Senn;ueblich;395;39;68;43;3.5;1.5;26;41;383;95.8;1.5;171;363;54.5;207;15;75.8;6.7;7;67.5;42.2;
25-1298;25_OpF_30;Senn;empfohlen;402;36;64;41;3.5;1.5;25;30;368;92;1.7;181;393;55.5;225;15;76.3;6.8;7.1;67.9;39.7;
25-1299;25_OpF_31;Rütter;null;368;29;66;41;3.6;1.5;31;16;431;108;1.6;156;359;54.9;199;15;77.6;7;7.3;67.5;41;
25-1300;25_OpF_32;Rütter;ueblich;380;29;63;42;3.5;1.4;31;16;440;110;1.6;152;360;58.3;189;13;78.3;7;7.4;67.5;39.1;
25-1301;25_OpF_33;Rütter;empfohlen;355;29;59;41;3.5;1.4;30;16;433;108;1.7;155;369;58.8;196;12;78.2;7;7.4;66.6;36.6;
25-1302;25_OpF_34;Boniswil;null;389;33;63;32;3.4;1.4;35;12;401;100;1.5;173;393;52.9;203;17;75.6;6.7;7;65.4;39.1;
