Probe/Parzelle;Wiederholung;TOC400;ROC Var B;TIC VarB;TOC Var B;HUM-TOC_B;Analyse
;;TOC 400, ROC, TIC;TOC 400, ROC, TIC;TOC 400, ROC, TIC;TOC 400, ROC, TIC;TOC 400, ROC, TIC;
;;Mass.-%;Mass.-%;Mass.-%;Mass.-%;Mass.-%;
007_8472null30;2.13;0.01;0.16;2.14;3.69;2.3;A
008_8472null60;1.24;0;0.04;1.24;2.14;1.28;A
009_8472empfohlen30;2.29;0.01;0.18;2.3;3.97;2.48;A
010_8472empfohlen60;1.51;0;0.08;1.51;2.6;1.59;A
011_8472ueblich30;2.2;0.01;0.23;2.21;3.81;2.44;A
012_8472ueblich60;1.26;0;0.06;1.26;2.18;1.32;A
013_8479null30;1.2;0;0.04;1.2;2.07;1.24;A
014_8479null60;0.34;0;0.06;0.34;0.59;0.4;A
015_8479empfohlen30;1.02;0;0;1.02;1.76;1.02;A
016_8479empfohlen60;0.36;0;0;0.36;0.62;0.36;A
017_8479ueblich30;1.26;0;0.92;1.26;2.18;2.18;A
018_8479ueblich60;0.28;0;2.7;0.28;0.48;2.98;A
019_8046null30;5.87;0.07;1.05;5.94;10.25;6.99;A
020_8046null60;1.77;0.02;4.84;1.79;3.09;6.63;A
021_8046empfohlen30;2.61;0.02;0.51;2.63;4.54;3.14;A
022_8046empfohlen60;0.83;0.01;4.39;0.84;1.45;5.23;A
023_8046ueblich30;2.68;0.03;0.61;2.71;4.67;3.32;A
024_8046ueblich60;1.1;0.01;3.02;1.11;1.91;4.13;A
025_8356null30;2.81;0.08;0.83;2.89;4.99;3.72;A
026_8356null60;0.73;0.17;2.18;0.9;1.55;3.08;A
027_8356empfohlen30;2.8;0.02;0.37;2.82;4.86;3.19;A
028_8356empfohlen60;0.58;0;0.66;0.58;1;1.24;A
029_8356ueblich30;1.6;0;0.16;1.6;2.76;1.76;A
030_8356ueblich60;0.47;0;0;0.47;0.81;0.47;A
031_3206null30;1.29;0;0.04;1.29;2.23;1.33;A
032_3206null60;0.39;0;0;0.39;0.67;0.39;A
033_3206empfohlen30;1.22;0;0.02;1.22;2.11;1.24;A
034_3206empfohlen60;0.31;0;0;0.31;0.54;0.31;A
