ID;Core [g];Stones [g];Tray [g];"Wet [g]
with Tray ";"Dry [g]
with Tray ";dry-wet ratio;TS;Depth;Length
007_8472null30;966.13;17.9;608.2;1378.1;1203.9;0.773736849;733.6804923;;30
008_8472null60;766.7;124.6;600.1;1030;948.9;0.811351477;520.9687834;30-50;20
009_8472empfohlen30;985.5;6.8;603.2;1386.7;1205.1;0.768219528;751.8564518;;30
010_8472empfohlen60;920.3;48;593.8;1034.5;948.7;0.805309735;702.4716814;30-50;20
011_8472ueblich30;968.9;32.4;599.1;1330.8;1162.5;0.7699877;721.0934809;;30
012_8472ueblich60;772.2;69.1;604.7;1115.8;1016.7;0.806104481;566.7720603;30-50;20
013_8479null30;1011.5;69.7;610.4;1361.5;1242.5;0.841565704;792.5865797;;30
014_8479null60;1014.6;67.5;606.1;1440.5;1326.3;0.863135187;817.4753356;;30
015_8479empfohlen30;1023;65.6;591.9;1316.5;1201.8;0.841705769;805.849103;;30
016_8479empfohlen60;1185.8;26.8;597;1505.1;1376.5;0.85838564;994.8689572;;30
017_8479ueblich30;974.9;65.1;613.5;1316.7;1211.6;0.850540387;773.8216439;;30
018_8479ueblich60;999.6;34.4;599.4;1344.4;1265.6;0.894228188;863.109047;;30
019_8046null30;570.2;13.5;590.2;948.8;858.4;0.747908533;416.3606804;;30
020_8046null60;966.6;137.5;585.2;1213;1118.3;0.849155782;704.0350589;;30
021_8046empfohlen30;667.4;46.5;595.3;984.1;905;0.796553498;494.5800669;;30
022_8046empfohlen60;1105.4;103.9;594;1293.5;1206.9;0.876197284;877.5115797;;30
023_8046ueblich30;753.8;83.9;595;1079.6;977.9;0.790136195;529.3122369;;30
024_8046ueblich60;1044.2;113.3;597.3;1290.9;1187.6;0.851066897;792.2581747;;30
025_8356null30;967.7;22;597.2;1297.1;1097.6;0.71495928;676.136991;;30
026_8356null60;793.2;65.1;612.5;1079.2;990;0.808870795;588.9388258;;30
027_8356empfohlen30;978;9.4;599.4;1294.7;1099;0.71853876;695.9766432;;30
028_8356empfohlen60;1139.9;19.2;600.8;1447.3;1280;0.80236267;899.2078441;;30
029_8356ueblich30;1065.5;62.1;593.8;1360.7;1187.5;0.774155692;776.7878211;;30
030_8356ueblich60;1132.4;41;590.3;1440.6;1284.2;0.816064918;890.6532518;;30
031_3206null30;1007.5;27.9;603.2;1365.3;1223.5;0.813935179;797.3309015;;30
032_3206null60;1192.5;50.8;604.1;1466.9;1346.5;0.860454335;982.380714;;30
033_3206empfohlen30;994.1;25.7;597.3;1323;1194.6;0.823067383;797.0584539;;30
034_3206empfohlen60;1132.7;57.9;599.7;1455.5;1335.5;0.859780323;924.0918906;;30
035_3206ueblich30;1195.4;59;589;1309.2;1175.7;0.814634824;925.7510136;;30
036_3206ueblich60;1171.8;81.6;599.2;1418.2;1302.8;0.859096459;936.5869597;;30
037_1725null30;1013.6;65.9;581.4;1255.6;1130.5;0.814446752;771.8511866;;30
038_1725null60;1071.5;26.2;605.5;1410.1;1299.2;0.862167537;901.2237261;;30
039_1725empfohlen30;981.3;41.3;591.5;1328.7;1183.1;0.802495931;754.3461747;;30
040_1725empfohlen60;1114.7;22.1;592;1436.7;1311.6;0.851900083;930.7860305;;30
041_1725ueblich30;1044;51.7;599.9;1372.8;1223.1;0.806313883;800.1052659;;30
042_1725ueblich60;1176.9;44.8;593.5;1446.1;1322.5;0.855031668;967.9813512;;30
043_1485null30;954.1;49.3;601;1316.5;1192.5;0.826694619;747.9932914;;30
044_1485null60;1171.3;39.1;598.9;1493.1;1375.5;0.868485797;983.2996198;;30
045_1485empfohlen30;949.7;108.2;605.4;1257.8;1139.7;0.818976088;689.1683783;;30
046_1485empfohlen60;1178.7;43.7;504.1;1455.8;1345.4;0.883997058;1003.336661;;30
047_1485ueblich30;927.5;34.6;593.8;1265.5;1147.1;0.823730832;735.5092601;;30
048_1485ueblich60;1176.7;55;595.9;1509.8;1392.7;0.871867819;977.9741328;;30
049_4566null30;916.7;45.5;584.2;1263.8;1143.9;0.82357269;717.4965274;;30
050_4566null60;940.6;347.3;613.1;977.5;923.9;0.852908891;506.0308452;;30
051_4566empfohlen30;987.8;56.8;605.2;1314.8;1174.1;0.801719278;746.4006483;;30
052_4566empfohlen60;1173.5;11.1;611.4;1537.4;1394;0.845140389;982.3911879;;30
053_4566ueblich30;987.2;39;597.4;1340.4;1205.2;0.818034993;775.6607806;;30
054_4566ueblich60;1137.8;4.9;593;1505.5;1359.1;0.839561644;951.1393863;;30
055_8507null30;965.4;41.2;586.9;1326.4;1172.6;0.792021636;731.9863962;;30
056_8507null60;1087;49.5;587.6;1420.1;1290.1;0.843843844;875.487988;;30
057_8507empfohlen30;796.2;11.6;604.3;1178.5;1033.6;0.747648903;586.6053292;;30
058_8507empfohlen60;1116.3;87.5;594.4;1410;1277.2;0.837175086;861.2857283;;30
059_8507ueblich30;766.8;66.1;606.6;1129.7;1011.9;0.774804053;542.9051998;;30
060_8507ueblich60;1062.3;124;589.4;1294.1;1185.5;0.845891869;793.7003406;;30
061_1580null30;1002.3;20.3;589.2;1285.6;1171.3;0.83587019;820.8245261;;30
062_1580null60;1154.6;8.7;582.1;1525.3;1370.1;0.835453774;957.3464801;;30
063_1580empfohlen30;1003.6;7.5;585.9;1325;1207.1;0.840481667;837.2037884;;30
064_1580empfohlen60;1175.7;1;625;1479.3;1333.5;0.829333958;974.2186;;30
