id_lysi,id_treat,soil_type
1,null,high
2,null,low
3,conventional,high
4,conventional,low
5,optimized,high
6,null,low
7,optimized,high
8,inhibitor,low
9,null,high
10,null,low
11,inhibitor,high
12,inhibitor,low
13,inhibitor,high
14,conventional,low
15,optimized,high
16,conventional,low
17,conventional,high
18,null,low
19,conventional,high
20,optimized,low
21,null,high
22,optimized,low
23,optimized,high
24,optimized,low
25,conventional,high
26,optimized,low
27,null,high
28,inhibitor,low
29,inhibitor,high
30,conventional,low
31,inhibitor,high
32,inhibitor,low
