id_lysi,date,NO3_N,NH4_N,SO4_S
1,2025-12-08,0.3,0.12,10.06
2,2025-12-08,0.11,0.69,1.25
3,2025-12-08,52.05,1.12,5.23
4,2025-12-08,6.44,0.15,4.51
5,2025-12-08,2.71,0.25,5.93
6,2025-12-08,0.18,0.25,2.73
7,2025-12-08,1.96,1.47,5.35
8,2025-12-08,0.63,0.43,3
9,2025-12-08,2.82,0.03,9.26
10,2025-12-08,0.37,0.1,4.59
11,2025-12-08,3.51,0.01,8.78
12,2025-12-08,0.22,0,6.84
13,2025-12-08,0.49,0.07,11.82
14,2025-12-08,20.39,0,6.55
15,2025-12-08,1.52,0.03,6.59
16,2025-12-08,10.44,0,5.59
17,2025-12-08,16.98,0.08,8.26
18,2025-12-08,0.39,1.02,2.97
19,2025-12-08,9.4,0.19,0
20,2025-12-08,0.25,0.56,0
21,2025-12-08,2.21,0.22,0
22,2025-12-08,0.09,0.42,0
23,2025-12-08,0.61,0.07,4.79
24,2025-12-08,NA,NA,NA
25,2025-12-08,7.64,0,10.95
26,2025-12-08,0.4,0,5.52
27,2025-12-08,1.87,0,9.36
28,2025-12-08,0.65,0,7.13
29,2025-12-08,0.72,0,13.38
30,2025-12-08,6.01,0,3.62
31,2025-12-08,NA,NA,NA
32,2025-12-08,0.73,0,4.47
1,2025-08-20,NA,NA,NA
2,2025-08-20,NA,NA,NA
3,2025-08-20,NA,NA,NA
4,2025-08-20,NA,NA,NA
5,2025-08-20,NA,NA,NA
6,2025-08-20,NA,NA,NA
7,2025-08-20,NA,NA,NA
8,2025-08-20,NA,NA,NA
9,2025-08-20,118.08,1.67,NA
10,2025-08-20,54.41,2.01,NA
11,2025-08-20,215.55,2.81,NA
12,2025-08-20,161.91,1.04,NA
13,2025-08-20,246.72,2.51,NA
14,2025-08-20,82.2,1.89,NA
15,2025-08-20,88.31,1.03,NA
16,2025-08-20,67.89,0.4,NA
17,2025-08-20,182.27,3.87,NA
18,2025-08-20,47.9,2.97,NA
19,2025-08-20,151.56,0.83,NA
20,2025-08-20,56.85,0.58,NA
21,2025-08-20,285.65,1.87,NA
22,2025-08-20,58.02,0.37,NA
23,2025-08-20,141.11,0.64,NA
24,2025-08-20,69.62,0.59,NA
25,2025-08-20,131.94,0.31,NA
26,2025-08-20,77.17,0.41,NA
27,2025-08-20,165.88,0.76,NA
28,2025-08-20,104.42,0.5,NA
29,2025-08-20,166.18,1.11,NA
30,2025-08-20,75.57,0.41,NA
31,2025-08-20,69.92,0.69,NA
32,2025-08-20,85.98,0.64,NA
1,2025-08-27,NA,NA,NA
2,2025-08-27,NA,NA,NA
3,2025-08-27,NA,NA,NA
4,2025-08-27,NA,NA,NA
5,2025-08-27,NA,NA,NA
6,2025-08-27,NA,NA,NA
7,2025-08-27,NA,NA,NA
8,2025-08-27,NA,NA,NA
9,2025-08-27,137.08,0.12,NA
10,2025-08-27,86.75,0.71,NA
11,2025-08-27,172.01,0.52,NA
12,2025-08-27,108.95,0.85,NA
13,2025-08-27,164.95,1.7,NA
14,2025-08-27,87.24,0.76,NA
15,2025-08-27,108.73,0.6,NA
16,2025-08-27,74.7,0.54,NA
17,2025-08-27,188.56,1.77,NA
18,2025-08-27,63.05,1.21,NA
19,2025-08-27,183.49,0.64,NA
20,2025-08-27,89.05,0.3,NA
21,2025-08-27,158.18,0.23,NA
22,2025-08-27,82.43,0.26,NA
23,2025-08-27,167.84,0.18,NA
24,2025-08-27,NA,NA,NA
25,2025-08-27,158.5,0.06,NA
26,2025-08-27,101.95,0.18,NA
27,2025-08-27,148.61,0.24,NA
28,2025-08-27,123.46,0.36,NA
29,2025-08-27,183.49,0.25,NA
30,2025-08-27,96.94,0.14,NA
31,2025-08-27,102.86,0.04,NA
32,2025-08-27,97.21,0.32,NA
1,2025-09-03,NA,NA,NA
2,2025-09-03,NA,NA,NA
3,2025-09-03,NA,NA,NA
4,2025-09-03,NA,NA,NA
5,2025-09-03,NA,NA,NA
6,2025-09-03,NA,NA,NA
7,2025-09-03,NA,NA,NA
8,2025-09-03,NA,NA,NA
9,2025-09-03,150.81,0.02,NA
10,2025-09-03,100.08,0.63,NA
11,2025-09-03,107.88,1.18,NA
12,2025-09-03,91.82,0.47,NA
13,2025-09-03,145.63,1.72,NA
14,2025-09-03,78.04,0.57,NA
15,2025-09-03,109.5,0.55,NA
16,2025-09-03,61.9,0.24,NA
17,2025-09-03,NA,NA,NA
18,2025-09-03,NA,NA,NA
19,2025-09-03,NA,NA,NA
20,2025-09-03,NA,NA,NA
21,2025-09-03,NA,NA,NA
22,2025-09-03,NA,NA,NA
23,2025-09-03,NA,NA,NA
24,2025-09-03,NA,NA,NA
25,2025-09-03,173.1,0.04,NA
26,2025-09-03,109.94,0.17,NA
27,2025-09-03,175.1,0.25,NA
28,2025-09-03,151.32,0.43,NA
29,2025-09-03,181,0.23,NA
30,2025-09-03,100.08,0.16,NA
31,2025-09-03,112.68,0.11,NA
32,2025-09-03,136.28,0.06,NA
1,2025-09-05,NA,NA,NA
2,2025-09-05,NA,NA,NA
3,2025-09-05,NA,NA,NA
4,2025-09-05,NA,NA,NA
5,2025-09-05,NA,NA,NA
6,2025-09-05,NA,NA,NA
7,2025-09-05,NA,NA,NA
8,2025-09-05,NA,NA,NA
9,2025-09-05,NA,NA,NA
10,2025-09-05,NA,NA,NA
11,2025-09-05,NA,NA,NA
12,2025-09-05,NA,NA,NA
13,2025-09-05,NA,NA,NA
14,2025-09-05,NA,NA,NA
15,2025-09-05,NA,NA,NA
16,2025-09-05,NA,NA,NA
17,2025-09-05,73.99,1.18,NA
18,2025-09-05,68.78,2.07,NA
19,2025-09-05,106.24,0.63,NA
20,2025-09-05,104.28,1.46,NA
21,2025-09-05,93.64,0.31,NA
22,2025-09-05,112.53,0.41,NA
23,2025-09-05,127.72,0.1,NA
24,2025-09-05,NA,NA,NA
25,2025-09-05,NA,NA,NA
26,2025-09-05,NA,NA,NA
27,2025-09-05,NA,NA,NA
28,2025-09-05,NA,NA,NA
29,2025-09-05,NA,NA,NA
30,2025-09-05,NA,NA,NA
31,2025-09-05,NA,NA,NA
32,2025-09-05,NA,NA,NA
1,2025-09-10,NA,NA,NA
2,2025-09-10,NA,NA,NA
3,2025-09-10,NA,NA,NA
4,2025-09-10,NA,NA,NA
5,2025-09-10,NA,NA,NA
6,2025-09-10,NA,NA,NA
7,2025-09-10,NA,NA,NA
8,2025-09-10,NA,NA,NA
9,2025-09-10,45.34,0.04,NA
10,2025-09-10,59.13,0.7,NA
11,2025-09-10,59.88,0.43,NA
12,2025-09-10,13.35,0.5,NA
13,2025-09-10,32.62,2.21,NA
14,2025-09-10,27.2,0.51,NA
15,2025-09-10,40.72,0.63,NA
16,2025-09-10,24.2,0.24,NA
17,2025-09-10,36.84,0.67,NA
18,2025-09-10,71.9,1.88,NA
19,2025-09-10,38.86,0.42,NA
20,2025-09-10,71.04,1.07,NA
21,2025-09-10,56.77,0.36,NA
22,2025-09-10,70.3,0.58,NA
23,2025-09-10,57.64,0.14,NA
24,2025-09-10,241.5,1.7,NA
25,2025-09-10,107.31,0.85,NA
26,2025-09-10,83.27,0.2,NA
27,2025-09-10,113.1,0.59,NA
28,2025-09-10,95.32,0.95,NA
29,2025-09-10,104.6,0.23,NA
30,2025-09-10,70.3,0.22,NA
31,2025-09-10,61.36,0.32,NA
32,2025-09-10,59.75,0.23,NA
1,2025-09-12,NA,NA,NA
2,2025-09-12,NA,NA,NA
3,2025-09-12,NA,NA,NA
4,2025-09-12,NA,NA,NA
5,2025-09-12,NA,NA,NA
6,2025-09-12,NA,NA,NA
7,2025-09-12,NA,NA,NA
8,2025-09-12,NA,NA,NA
9,2025-09-12,3.67,0.03,NA
10,2025-09-12,41,0.35,NA
11,2025-09-12,21.1,0.27,NA
12,2025-09-12,1.02,0.23,NA
13,2025-09-12,5.06,1.36,NA
14,2025-09-12,8.85,0.14,NA
15,2025-09-12,8.23,0.19,NA
16,2025-09-12,8.65,0.12,NA
17,2025-09-12,16.39,0.19,NA
18,2025-09-12,33.55,1.71,NA
19,2025-09-12,7.47,0.19,NA
20,2025-09-12,12.53,0.49,NA
21,2025-09-12,31.56,0.17,NA
22,2025-09-12,80.56,0.36,NA
23,2025-09-12,29.37,0.04,NA
24,2025-09-12,85.29,0.69,NA
25,2025-09-12,53.51,0.04,NA
26,2025-09-12,45.42,0.13,NA
27,2025-09-12,72.72,0.22,NA
28,2025-09-12,54.73,0.43,NA
29,2025-09-12,81.19,0.09,NA
30,2025-09-12,18.91,0.06,NA
31,2025-09-12,20.52,0.09,NA
32,2025-09-12,17.87,0.05,NA
1,2025-09-16,NA,NA,NA
2,2025-09-16,NA,NA,NA
3,2025-09-16,NA,NA,NA
4,2025-09-16,NA,NA,NA
5,2025-09-16,NA,NA,NA
6,2025-09-16,NA,NA,NA
7,2025-09-16,NA,NA,NA
8,2025-09-16,NA,NA,NA
9,2025-09-16,0,0.04,NA
10,2025-09-16,22.63,0.41,NA
11,2025-09-16,11.81,0.69,NA
12,2025-09-16,0.24,0.47,NA
13,2025-09-16,4.84,1.72,NA
14,2025-09-16,1.02,0.14,NA
15,2025-09-16,0.93,0.07,NA
16,2025-09-16,1.48,0.12,NA
17,2025-09-16,6.15,0.51,NA
18,2025-09-16,23.47,2.34,NA
19,2025-09-16,4.1,1.07,NA
20,2025-09-16,3.2,0.56,NA
21,2025-09-16,8.55,0.5,NA
22,2025-09-16,33.27,0.38,NA
23,2025-09-16,8.45,0.16,NA
24,2025-09-16,91.72,0.26,NA
25,2025-09-16,23.37,0.2,NA
26,2025-09-16,57.43,0.11,NA
27,2025-09-16,47.16,1.2,NA
28,2025-09-16,34.36,0.74,NA
29,2025-09-16,57.26,0.24,NA
30,2025-09-16,25.27,0.1,NA
31,2025-09-16,2.03,0.21,NA
32,2025-09-16,3.04,0.16,NA
1,2025-09-25,NA,NA,NA
2,2025-09-25,NA,NA,NA
3,2025-09-25,NA,NA,NA
4,2025-09-25,NA,NA,NA
5,2025-09-25,NA,NA,NA
6,2025-09-25,NA,NA,NA
7,2025-09-25,NA,NA,NA
8,2025-09-25,NA,NA,NA
9,2025-09-25,0,0.03,28.87
10,2025-09-25,2.17,0,7.64
11,2025-09-25,0.48,0.09,33.67
12,2025-09-25,0.17,0,8.77
13,2025-09-25,0.64,0.84,34.7
14,2025-09-25,0.17,0.3,7.47
15,2025-09-25,0,0.02,14.31
16,2025-09-25,0,0.02,4.48
17,2025-09-25,0.38,0.39,29.27
18,2025-09-25,7.75,2.2,23.87
19,2025-09-25,0.12,0.24,12.16
20,2025-09-25,0,0.42,4.62
21,2025-09-25,0.22,0.17,14.92
22,2025-09-25,6.33,0.7,9.69
23,2025-09-25,0.09,0.06,7.68
24,2025-09-25,NA,NA,NA
25,2025-09-25,0,0.04,15.18
26,2025-09-25,9.19,0.12,16.47
27,2025-09-25,1.52,0,27.19
28,2025-09-25,3.85,0.25,21.95
29,2025-09-25,4.25,0.03,17.63
30,2025-09-25,1.23,0.07,4.77
31,2025-09-25,0,0,15.66
32,2025-09-25,0,0.01,21.4
1,2025-09-30,NA,NA,NA
2,2025-09-30,NA,NA,NA
3,2025-09-30,NA,NA,NA
4,2025-09-30,NA,NA,NA
5,2025-09-30,NA,NA,NA
6,2025-09-30,NA,NA,NA
7,2025-09-30,NA,NA,NA
8,2025-09-30,NA,NA,NA
9,2025-09-30,0.03,0.32,16.05
10,2025-09-30,0.26,0.54,6.84
11,2025-09-30,0.2,0.43,20.02
12,2025-09-30,0.09,0.45,6.35
13,2025-09-30,0.32,1.69,19.84
14,2025-09-30,0.06,0.38,5.59
15,2025-09-30,0.27,0.44,9.9
16,2025-09-30,0.12,0.36,5.64
17,2025-09-30,0.24,0.51,14.94
18,2025-09-30,1.55,3.54,12.44
19,2025-09-30,0.17,0.61,7.77
20,2025-09-30,0.21,1.38,4.65
21,2025-09-30,0.22,0.72,9.17
22,2025-09-30,1.14,1.1,6.86
23,2025-09-30,0.13,0.47,6.7
24,2025-09-30,73.22,1.57,14.8
25,2025-09-30,0.07,0.31,14.4
26,2025-09-30,0.47,0.34,9.7
27,2025-09-30,0.16,0.35,16.93
28,2025-09-30,0.11,0.38,12.63
29,2025-09-30,0.38,0.31,12.16
30,2025-09-30,0.15,0.34,8.05
31,2025-09-30,0.08,0.34,18.57
32,2025-09-30,0.06,0.34,11.74
1,2025-10-02,NA,NA,NA
2,2025-10-02,NA,NA,NA
3,2025-10-02,NA,NA,NA
4,2025-10-02,NA,NA,NA
5,2025-10-02,NA,NA,NA
6,2025-10-02,NA,NA,NA
7,2025-10-02,NA,NA,NA
8,2025-10-02,NA,NA,NA
9,2025-10-02,0.1,0.01,16.29
10,2025-10-02,0.11,0.09,5.32
11,2025-10-02,0.28,0.06,21.97
12,2025-10-02,0.4,0.21,6.23
13,2025-10-02,0.35,1.22,18.94
14,2025-10-02,0.23,0.05,4.98
15,2025-10-02,0.51,0.05,9.89
16,2025-10-02,0.3,0.03,4.04
17,2025-10-02,0.14,0.03,9.21
18,2025-10-02,0.36,0.3,17.52
19,2025-10-02,0.35,0.95,8
20,2025-10-02,0.37,2.66,5.15
21,2025-10-02,0.24,1.1,9.47
22,2025-10-02,0.57,1.51,6.54
23,2025-10-02,0.17,0.43,6.57
24,2025-10-02,NA,NA,NA
25,2025-10-02,0.18,0.01,12.59
26,2025-10-02,0.38,0.04,8.95
27,2025-10-02,0.22,0.04,18.85
28,2025-10-02,0.03,0.01,9.94
29,2025-10-02,0.01,0,10.44
30,2025-10-02,0.01,0,5.39
31,2025-10-02,NA,NA,NA
32,2025-10-02,0,0.01,5.94
1,2025-10-06,NA,NA,NA
2,2025-10-06,NA,NA,NA
3,2025-10-06,NA,NA,NA
4,2025-10-06,NA,NA,NA
5,2025-10-06,NA,NA,NA
6,2025-10-06,NA,NA,NA
7,2025-10-06,NA,NA,NA
8,2025-10-06,NA,NA,NA
9,2025-10-06,0.05,0.42,14.11
10,2025-10-06,0.16,0.4,4.9
11,2025-10-06,0.63,0.39,22.03
12,2025-10-06,4.06,0.57,10.16
13,2025-10-06,0.37,1.57,17.61
14,2025-10-06,0.27,0.32,4.53
15,2025-10-06,0.59,0.36,7.66
16,2025-10-06,0.27,0.3,3.13
17,2025-10-06,0.65,0.58,17.03
18,2025-10-06,0.99,5.16,10.48
19,2025-10-06,0.45,1.23,6.94
20,2025-10-06,0.26,2.82,3.79
21,2025-10-06,0.26,1.21,8.06
22,2025-10-06,0.57,1.7,4.92
23,2025-10-06,0.21,0.67,5.58
24,2025-10-06,NA,NA,NA
25,2025-10-06,0.21,0.3,11.64
26,2025-10-06,0.37,0.33,7.78
27,2025-10-06,0.23,0.37,16.19
28,2025-10-06,0.2,0.39,10.67
29,2025-10-06,0.55,0.28,10.37
30,2025-10-06,0.33,0.36,6.6
31,2025-10-06,0.17,0.32,13.07
32,2025-10-06,0.17,0.32,7.18
1,2025-10-08,NA,NA,NA
2,2025-10-08,NA,NA,NA
3,2025-10-08,NA,NA,NA
4,2025-10-08,NA,NA,NA
5,2025-10-08,NA,NA,NA
6,2025-10-08,NA,NA,NA
7,2025-10-08,NA,NA,NA
8,2025-10-08,NA,NA,NA
9,2025-10-08,0.03,0.18,17.32
10,2025-10-08,0.19,0.22,2.23
11,2025-10-08,0.39,0.15,22.9
12,2025-10-08,0.72,0.16,2.1
13,2025-10-08,1.03,0.9,21.74
14,2025-10-08,1.57,0.29,2.23
15,2025-10-08,0.12,0.2,5.99
16,2025-10-08,1.78,0.22,2.51
17,2025-10-08,1.93,0.55,12.98
18,2025-10-08,NA,NA,NA
19,2025-10-08,0.44,0.73,4.51
20,2025-10-08,NA,NA,NA
21,2025-10-08,0.33,1.07,5.94
22,2025-10-08,7.8,2.08,4.06
23,2025-10-08,0.49,0.46,4.23
24,2025-10-08,46.1,2.08,20.97
25,2025-10-08,2.11,0.16,8.91
26,2025-10-08,1.31,0.17,16.32
27,2025-10-08,0.23,0.16,20.42
28,2025-10-08,4.58,0.19,7.33
29,2025-10-08,0.53,0.18,7.65
30,2025-10-08,0.08,0.25,4.54
31,2025-10-08,0.08,0.26,21.5
32,2025-10-08,0,0.21,3.99
1,2025-10-10,NA,NA,NA
2,2025-10-10,NA,NA,NA
3,2025-10-10,NA,NA,NA
4,2025-10-10,NA,NA,NA
5,2025-10-10,NA,NA,NA
6,2025-10-10,NA,NA,NA
7,2025-10-10,NA,NA,NA
8,2025-10-10,NA,NA,NA
9,2025-10-10,0.1,0.04,13.39
10,2025-10-10,0.13,0.08,5.97
11,2025-10-10,0.91,0.25,23.75
12,2025-10-10,0.98,0.05,8.04
13,2025-10-10,1.11,0.78,18.61
14,2025-10-10,2.22,0.08,8.02
15,2025-10-10,0.56,0.08,10.74
16,2025-10-10,6.11,0.11,5.97
17,2025-10-10,2.15,0.16,13.29
18,2025-10-10,0.96,5.13,10.24
19,2025-10-10,0.6,0.82,7.35
20,2025-10-10,0.24,1.94,4.29
21,2025-10-10,0.42,1.5,9.57
22,2025-10-10,17.25,1.47,5.34
23,2025-10-10,0.66,0.67,7.19
24,2025-10-10,29.5,1.69,21.91
25,2025-10-10,3.9,0.06,13.66
26,2025-10-10,1.64,0.03,8.35
27,2025-10-10,0.33,0.09,19.38
28,2025-10-10,8.86,0.15,12.03
29,2025-10-10,1.06,0.02,11.46
