date,id_lysi,treat,carbon,NH4_N,NO3_N,BOB,LAP,NAG,GLS,MUP,MUX,Comments,SW,year,plot_nr,treatment,soil_type,crop,NH4,NO3,Ntot,LTE,id_treat,date_short,TS g/100g,NO3-N,NH4-N,NMin 0-30 cm [kgN/ha],NMin 0-60 cm [kgN/ha],fertilisation [kgN/ha],precip_sum,Precip_7d,Precip_14d,Precip_30d,GDD_cum,GDD_7d,GDD_14d,GDD_30d,Aridity_14d
2025-03-11,1,null,high,0.1,2.12,NA,NA,NA,NA,NA,NA,NA,NA,2025,1,null,high,WW,0.1,2.12,2.22,Lysimeter,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,5.6,33.2,4268.65,44.6,64.95,120.85,0.0849128127369219
2025-03-11,2,null,low,0.22,1.34,BOB_05,12.4593,5.6741,13.3029,58.5006,4.002,NA,NA,2025,2,null,low,WW,0.22,1.34,1.56,Lysimeter,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,5.6,33.2,4268.65,44.6,64.95,120.85,0.0849128127369219
2025-03-11,3,conventional,high,0.11,1.68,BOB_09,3.834,4.6414,9.7766,54.4957,3.5989,NA,NA,2025,3,conventional,high,WW,0.11,1.68,1.79,Lysimeter,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,5.6,33.2,4268.65,44.6,64.95,120.85,0.0849128127369219
2025-03-11,4,conventional,low,0.05,1.03,BOB_06,16.2087,9.0758,18.3625,70.0943,4.0387,NA,NA,2025,4,conventional,low,WW,0.05,1.03,1.08,Lysimeter,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,5.6,33.2,4268.65,44.6,64.95,120.85,0.0849128127369219
2025-03-11,5,optimized,high,0.08,1.79,BOB_05,5.7307,4.9799,10.0668,45.9432,3.4059,NA,NA,2025,5,optimized,high,WW,0.08,1.79,1.87,Lysimeter,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,5.6,33.2,4268.65,44.6,64.95,120.85,0.0849128127369219
2025-03-11,6,null,low,0.06,1.04,BOB_09,14.821,4.8897,14.4373,76.6708,5.2221,NA,NA,2025,6,null,low,WW,0.06,1.04,1.1,Lysimeter,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,5.6,33.2,4268.65,44.6,64.95,120.85,0.0849128127369219
2025-03-11,7,optimized,high,0.08,2.32,BOB_06,6.3863,5.9854,7.7247,50.5745,3.7214,NA,NA,2025,7,optimized,high,WW,0.08,2.32,2.4,Lysimeter,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,5.6,33.2,4268.65,44.6,64.95,120.85,0.0849128127369219
2025-03-11,8,inhibitor,low,0.17,1.55,BOB_05,19.7695,6.6383,11.1043,50.3246,4.0506,NA,NA,2025,8,inhibitor,low,WW,0.17,1.55,1.72,Lysimeter,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,5.6,33.2,4268.65,44.6,64.95,120.85,0.0849128127369219
2025-03-11,9,null,high,0.11,2.54,BOB_09,3.094,5.0184,10.839,55.3359,3.2568,NA,NA,2025,9,null,high,WW,0.11,2.54,2.65,Lysimeter,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,5.6,33.2,4268.65,44.6,64.95,120.85,0.0849128127369219
2025-03-11,10,null,low,0.09,0.95,BOB_06,13.8475,5.684,12.5526,58.6238,3.6531,NA,NA,2025,10,null,low,WW,0.09,0.95,1.04,Lysimeter,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,5.6,33.2,4268.65,44.6,64.95,120.85,0.0849128127369219
