"id_lysi","id_treat","soil_type","date","date_short","TS g/100g","NO3-N","NH4-N","NMin 0-30 cm [kgN/ha]","NMin 0-60 cm [kgN/ha]","fertilisation [kgN/ha]"
"01","null","high","23.04.2026","T1",86.301,15.581,0,15.581,32.096618808049534,NA
"02","null","low","23.04.2026","T1",84.371,5.977,0,5.977,13.882768874817343,NA
"03","conventional","high","23.04.2026","T1",84.554,22.612,0.745,23.358,58.742430205949645,NA
"04","conventional","low","23.04.2026","T1",86.584,9.706,0.243,9.949,21.619872301500184,NA
"05","optimized","high","23.04.2026","T1",85.78,17.635,0,17.635,36.570555980129924,NA
"06","null","low","23.04.2026","T1",84.91,7.176,0,7.176,16.667684364344865,NA
"07","optimized","high","23.04.2026","T1",86.087,13.667,0,13.667,28.341921666029805,NA
"08","inhibitor","low","23.04.2026","T1",83.941,8.761,0.25,9.011,22.750465002229156,NA
"09","null","high","23.04.2026","T1",84.823,12.88,0,12.88,26.532600619195044,NA
"10","null","low","23.04.2026","T1",80.455,8.879,0,8.879,20.62323989283975,NA
"11","inhibitor","high","23.04.2026","T1",85.938,17.603,0,17.603,37.13650421804024,NA
"12","inhibitor","low","23.04.2026","T1",82.455,7.644,0,7.644,19.299140436914847,NA
"13","inhibitor","high","23.04.2026","T1",83.096,18.205,0.253,18.458,38.94027125243348,NA
"14","conventional","low","23.04.2026","T1",85.647,14.719,0,14.719,31.9854156604464,NA
"15","optimized","high","23.04.2026","T1",81.694,23.661,0,23.661,49.06696484524265,NA
"16","conventional","low","23.04.2026","T1",83.703,17.32,0,17.32,37.63757043541896,NA
"17","conventional","high","23.04.2026","T1",84.378,19.671,0,19.671,49.47008924485125,NA
"18","null","low","23.04.2026","T1",85.004,9.145,0,9.145,21.241077691183634,NA
"19","conventional","high","23.04.2026","T1",85.451,17.949,0,17.949,45.13947597254004,NA
"20","optimized","low","23.04.2026","T1",83.675,11.048,0.251,11.299,25.705744255514702,NA
"21","null","high","23.04.2026","T1",84.81,23.04,0,23.04,47.46204334365325,NA
"22","optimized","low","23.04.2026","T1",86.883,12.575,0.242,12.817,29.159264016544117,NA
"23","optimized","high","23.04.2026","T1",84.099,18.487,0.5,18.987,39.374264042797094,NA
"24","optimized","low","23.04.2026","T1",81.93,15.9,0,15.9,36.17323069852941,NA
"25","conventional","high","23.04.2026","T1",87.987,11.223,0,11.223,28.224432494279178,NA
"26","optimized","low","23.04.2026","T1",83.443,9.568,0,9.568,21.767639705882353,NA
"27","null","high","23.04.2026","T1",85.91,14.185,0.245,14.429,29.723516640866873,NA
"28","inhibitor","low","23.04.2026","T1",82.564,14.505,0,14.505,36.62140659830584,NA
"29","inhibitor","high","23.04.2026","T1",84.134,13.485,0,13.485,28.448887086307593,NA
"30","conventional","low","23.04.2026","T1",86.05,13.429,0,13.429,29.18215550676912,NA
"31","inhibitor","high","23.04.2026","T1",83.775,25.08,0.251,25.33,53.437916937053856,NA
"32","inhibitor","low","23.04.2026","T1",86.381,10.216,0,10.216,25.79278109674543,NA
"01","null","high","20.05.2026","T2",80.935,12.461,0.26,12.72,26.203003095975234,NA
"02","null","low","20.05.2026","T2",79.92,7.887,0.526,8.413,19.54086239649294,NA
