date;id_lysi;treat;carbon;NH4_N;NO3_N;BOB;LAP;NAG;GLS;MUP;MUX;Comments;SW
11.03.2025;1;null;high;0.1;2.12;NA;NA;NA;NA;NA;NA;NA;NA
11.03.2025;2;null;low;0.22;1.34;BOB_05;12.4593;5.6741;13.3029;58.5006;4.002;;NA
11.03.2025;3;conventional;high;0.11;1.68;BOB_09;3.834;4.6414;9.7766;54.4957;3.5989;;NA
11.03.2025;4;conventional;low;0.05;1.03;BOB_06;16.2087;9.0758;18.3625;70.0943;4.0387;;NA
11.03.2025;5;optimized;high;0.08;1.79;BOB_05;5.7307;4.9799;10.0668;45.9432;3.4059;;NA
11.03.2025;6;null;low;0.06;1.04;BOB_09;14.821;4.8897;14.4373;76.6708;5.2221;;NA
11.03.2025;7;optimized;high;0.08;2.32;BOB_06;6.3863;5.9854;7.7247;50.5745;3.7214;;NA
11.03.2025;8;inhibitor;low;0.17;1.55;BOB_05;19.7695;6.6383;11.1043;50.3246;4.0506;;NA
11.03.2025;9;null;high;0.11;2.54;BOB_09;3.094;5.0184;10.839;55.3359;3.2568;;NA
11.03.2025;10;null;low;0.09;0.95;BOB_06;13.8475;5.684;12.5526;58.6238;3.6531;;NA
11.03.2025;11;inhibitor;high;0.08;2.26;BOB_05;5.7805;4.2029;8.2082;47.2889;3.2271;;NA
11.03.2025;12;inhibitor;low;0.09;1.18;BOB_09;15.0038;8.0497;16.7783;73.1521;4.683;;NA
11.03.2025;13;inhibitor;high;0.09;2.26;BOB_06;2.6083;4.3655;8.2244;43.0647;3.2545;;NA
11.03.2025;14;conventional;low;0.08;0.92;BOB_05;7.5079;5.5889;8.1847;59.0327;3.7555;;NA
11.03.2025;15;optimized;high;0.09;1.79;BOB_09;4.9473;7.5812;10.4251;50.8648;3.3596;;NA
11.03.2025;16;conventional;low;0.05;0.84;BOB_06;9.446;5.5249;14.6308;57.2357;4.0906;;NA
11.03.2025;17;conventional;high;0.09;1.69;BOB_05;3.7219;3.5657;6.1455;41.1197;2.8695;;NA
11.03.2025;18;null;low;0.01;0.65;BOB_09;11.4345;6.022;15.1027;66.728;3.604;;NA
11.03.2025;19;conventional;high;0;1.96;BOB_06;-1.1744;4.2317;8.5054;43.9189;3.5362;;NA
11.03.2025;20;optimized;low;0.03;0.8;BOB_05;7.1218;4.5751;13.2118;52.7448;3.5616;;NA
11.03.2025;21;null;high;0.06;2.29;BOB_09;3.2981;4.7387;10.0301;49.9797;3.3262;;NA
11.03.2025;22;optimized;low;0.04;0.98;BOB_06;8.1537;4.6616;14.8418;59.5993;3.4536;;NA
11.03.2025;23;optimized;high;0.06;1.69;BOB_05;-5.5091;2.9996;7.277;43.5978;2.3227;;NA
11.03.2025;24;optimized;low;0.11;1.48;BOB_09;14.8769;5.8862;18.6999;60.9108;3.9184;;NA
11.03.2025;25;conventional;high;0.02;1.63;BOB_06;6.2326;3.7649;8.9732;43.3711;5.6264;;NA
