id_lysi,date,volume,NO3_N,NH4_N
1,2025-09-09,4.23,69.37,0.21
2,2025-09-09,8.64,79.62,0.21
3,2025-09-09,7.96,146.16,0.14
4,2025-09-09,9.95,146.86,0.06
5,2025-09-09,7.42,146.45,0.25
6,2025-09-09,7.15,90.18,0
7,2025-09-09,7.74,107,0
8,2025-09-09,10.29,104.78,0.17
9,2025-09-09,6.9,99.48,0.03
10,2025-09-09,9.37,87.49,0.15
11,2025-09-09,4.41,127.88,0.01
12,2025-09-09,7.31,117.28,0.21
13,2025-09-09,6,131.94,0.23
14,2025-09-09,9.01,127.5,0.16
15,2025-09-09,8.67,125.58,0.12
16,2025-09-09,2.61,130.86,0.05
17,2025-09-09,6.09,158.94,0
18,2025-09-09,8.59,63.23,0.03
19,2025-09-09,6.1,177.36,0.01
20,2025-09-09,7.7,124.09,0
21,2025-09-09,7.85,107.42,0.02
22,2025-09-09,7.1,105.04,0
23,2025-09-09,7.48,120.12,0
24,2025-09-09,10.29,96.45,0
25,2025-09-09,6.74,165.49,0.09
26,2025-09-09,9.07,122.8,0
27,2025-09-09,4.52,108.31,0.08
28,2025-09-09,6.99,130.49,0.08
29,2025-09-09,6.28,35.06,0.89
30,2025-09-09,8.65,121.08,0.05
31,2025-09-09,7.55,113.13,0.33
32,2025-09-09,7.47,132.4,0.14
3,2025-09-23,0.24,200.22,0.12
4,2025-09-23,0.9,196.03,0.27
5,2025-09-23,0.33,213.88,0
6,2025-09-23,0.0700000000000001,140.87,0.14
7,2025-09-23,0.28,162.98,0.05
8,2025-09-23,1.14,153.84,0.31
9,2025-09-23,0.23,129.99,0.01
11,2025-09-23,0.21,190.39,0
13,2025-09-23,0.22,179.36,0
14,2025-09-23,0.26,151.79,0
15,2025-09-23,0.41,190.72,0.01
18,2025-09-23,0.0899999999999999,172.52,0.15
19,2025-09-23,0.28,233.49,0.01
21,2025-09-23,0.34,178.39,0.1
22,2025-09-23,0.05,171.68,0.13
23,2025-09-23,0.38,197.37,0.19
24,2025-09-23,1.22,136.23,0.11
25,2025-09-23,0.32,240.8,0.33
26,2025-09-23,0.32,180.45,0.29
27,2025-09-23,0.14,166.47,0.13
29,2025-09-23,0.12,47.63,0
30,2025-09-23,0.2,158.79,0.35
31,2025-09-23,0.15,144.52,0.07
