id_lysi,date,volume,PN
1,2024-09-10,16.44,2024_PN01
2,2024-09-10,11.31,2024_PN01
3,2024-09-10,17.47,2024_PN01
4,2024-09-10,12.13,2024_PN01
5,2024-09-10,14.51,2024_PN01
6,2024-09-10,12.88,2024_PN01
7,2024-09-10,16.25,2024_PN01
8,2024-09-10,16.85,2024_PN01
9,2024-09-10,16.63,2024_PN01
10,2024-09-10,10.83,2024_PN01
11,2024-09-10,16.58,2024_PN01
12,2024-09-10,15.47,2024_PN01
13,2024-09-10,18.66,2024_PN01
14,2024-09-10,9.6,2024_PN01
15,2024-09-10,15.42,2024_PN01
16,2024-09-10,9.91,2024_PN01
17,2024-09-10,14.41,2024_PN01
18,2024-09-10,12.03,2024_PN01
19,2024-09-10,16.84,2024_PN01
20,2024-09-10,13.3,2024_PN01
21,2024-09-10,14.48,2024_PN01
22,2024-09-10,12.24,2024_PN01
23,2024-09-10,16.8,2024_PN01
24,2024-09-10,12.13,2024_PN01
25,2024-09-10,15.97,2024_PN01
26,2024-09-10,3.51,2024_PN01
27,2024-09-10,14.75,2024_PN01
28,2024-09-10,6.93,2024_PN01
29,2024-09-10,0.86,2024_PN01
30,2024-09-10,16.66,2024_PN01
31,2024-09-10,17.69,2024_PN01
32,2024-09-10,15.12,2024_PN01
1,2024-09-24,7.93,2024_PN02
2,2024-09-24,7.71,2024_PN02
3,2024-09-24,8.66,2024_PN02
4,2024-09-24,8.14,2024_PN02
5,2024-09-24,8.46,2024_PN02
6,2024-09-24,7.4,2024_PN02
7,2024-09-24,8.39,2024_PN02
8,2024-09-24,8.31,2024_PN02
9,2024-09-24,8.6,2024_PN02
10,2024-09-24,8.07,2024_PN02
11,2024-09-24,8.02,2024_PN02
12,2024-09-24,8.29,2024_PN02
13,2024-09-24,9.09,2024_PN02
14,2024-09-24,8.35,2024_PN02
15,2024-09-24,9.27,2024_PN02
16,2024-09-24,10.06,2024_PN02
17,2024-09-24,7.29,2024_PN02
18,2024-09-24,8.32,2024_PN02
19,2024-09-24,8.55,2024_PN02
20,2024-09-24,8.29,2024_PN02
21,2024-09-24,8.74,2024_PN02
22,2024-09-24,6.97,2024_PN02
23,2024-09-24,8.75,2024_PN02
24,2024-09-24,7.81,2024_PN02
25,2024-09-24,8.73,2024_PN02
26,2024-09-24,7.41,2024_PN02
27,2024-09-24,7.31,2024_PN02
28,2024-09-24,7.41,2024_PN02
29,2024-09-24,0.36,2024_PN02
30,2024-09-24,8.44,2024_PN02
31,2024-09-24,8.75,2024_PN02
32,2024-09-24,7.07,2024_PN02
1,2024-10-11,18.58,2024_PN03
2,2024-10-11,18.92,2024_PN03
3,2024-10-11,18.53,2024_PN03
4,2024-10-11,20.37,2024_PN03
5,2024-10-11,16.21,2024_PN03
6,2024-10-11,17.75,2024_PN03
7,2024-10-11,17.58,2024_PN03
8,2024-10-11,20.1,2024_PN03
9,2024-10-11,18.72,2024_PN03
10,2024-10-11,20.06,2024_PN03
11,2024-10-11,16.92,2024_PN03
12,2024-10-11,19.84,2024_PN03
13,2024-10-11,18.14,2024_PN03
14,2024-10-11,19.89,2024_PN03
15,2024-10-11,17.56,2024_PN03
16,2024-10-11,19.89,2024_PN03
17,2024-10-11,16.12,2024_PN03
18,2024-10-11,20.79,2024_PN03
19,2024-10-11,18.12,2024_PN03
20,2024-10-11,19.74,2024_PN03
21,2024-10-11,18.22,2024_PN03
22,2024-10-11,15.71,2024_PN03
23,2024-10-11,18.02,2024_PN03
24,2024-10-11,19.06,2024_PN03
25,2024-10-11,18,2024_PN03
26,2024-10-11,18.22,2024_PN03
27,2024-10-11,15.5,2024_PN03
28,2024-10-11,18.02,2024_PN03
