id_lysi,lufttrocken,n_halme,n_aehren,korn_TS,stroh_TS
1,494.9,155,158,40.13862,397.11062
2,298.94,255,230,48.1935,220.9069
3,511.53,313,245,22.34936,424.1685
4,386.88,262,254,30.27559,312.67571
5,483.83,274,234,23.85108,399.1125
6,239.25,143,144,46.8618,170.69445
7,446.2,224,179,41.1445,350.11141
8,319.69,181,191,44.67798,243.80274
9,477.53,196,176,51.42544,373.8357
10,297.83,166,167,55.75864,214.61622
11,456.67,228,179,36.75795,364.23478
12,386.63,189,177,37.41597,301.30016
13,537.17,297,252,33.43912,432.0726
14,421.91,298,293,30.54612,341.84583
15,506.92,277,252,19.78007,423.14051
16,406.11,265,259,30.1055,327.6175
17,467.78,251,181,29.64792,379.17946
18,262.95,260,249,57.13235,183.309
19,518.89,339,240,30.62423,421.89954
20,418.87,330,315,43.77296,328.88898
21,506.45,268,249,39.14,408.02425
22,378.33,253,242,54.5395,284.65604
23,545.32,263,236,46.65108,433.10403
24,389.66,161,163,49.0626,299.74672
25,533.56,291,236,39.3965,425.65785
26,385.78,252,236,44.5075,296.90268
27,475.62,161,128,48.90197,371.07875
28,364.76,135,123,68.1625,260.19288
29,489.15,200,155,57.42984,376.71303
30,333.43,234,229,15.75024,277.75467
31,433.1,126,118,48.26945,338.0858
32,474.5,252,223,20.60388,392.05552
