id_lysi,X21.03.2025,X26.03.2025,X01.05.2025,X12.05.2025,X16.05.2025,X23.05.2025,X02.06.2025,X23.06.2025,X02.07.2025
1,13,19,57,75,82,97,115,120,115
2,14,19,50,62,65,77,97,97,97
3,16,23,62,77,75,87,95,90,90
4,14,19,53,70,77,85,95,92,90
5,16,21,60,75,77,87,102,100,97
6,14,18,55,62,67,80,97,97,95
7,15,24,58,72,82,95,107,110,105
8,15,23,52,70,72,85,100,105,102
9,16,23,55,72,82,97,115,112,110
10,13,18,50,65,72,85,102,105,105
11,15,20,60,75,80,95,110,105,100
12,14,18,57,70,75,87,107,105,102
13,16,22,63,72,77,90,105,102,100
14,14,19,58,70,75,85,100,97,97
15,15,21,65,75,77,85,102,100,97
16,13,18,62,70,75,80,92,92,90
17,16,23,67,75,77,85,97,97,95
18,12,17,45,57,62,70,87,90,90
19,16,21,70,77,80,87,95,97,95
20,15,20,57,70,77,85,97,100,95
21,15,21,65,75,82,95,110,107,102
22,14,21,60,67,72,77,97,97,97
23,14,22,70,80,85,90,110,107,107
24,13,18,55,72,75,87,107,107,107
25,15,21,67,80,85,90,97,97,97
26,16,20,57,67,75,82,95,95,95
27,13,18,62,75,85,95,115,115,115
28,14,18,62,70,82,97,107,110,110
29,16,27,70,72,80,97,107,110,110
30,13,21,60,70,77,95,105,107,107
31,15,22,72,80,82,97,105,100,100
32,17,26,65,72,77,90,100,95,95
