id_lysi,date,chamber_size,nr_bags,CO2_flux,CH4_flux,N2O_flux,r2_CO2,r2_CH4,r2_N2O,co2_quality,n2o_qc_flag,quality_flag
1,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
3,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
5,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
7,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
12,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
13,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
14,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
17,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
18,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
19,2025-03-13,small,NA,3.44954275742197,0.00844013736140755,0.000602129722313691,0.999348529239354,0.998665387706357,0.998275627144121,Positiv & Signifikant (OK),Accepted: N2O R² > 0.9,1
20,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
21,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
22,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
23,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
24,2025-03-13,small,NA,2.00842441192366,0.00702114849659207,0.000326017349756717,0.974762496537115,0.985913231911517,0.946491065698177,Positiv & Signifikant (OK),Accepted: N2O R² > 0.9,1
25,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
26,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
27,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
28,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
29,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
31,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
32,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,2025-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2,2025-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
3,2025-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,2025-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
5,2025-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6,2025-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
7,2025-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8,2025-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
