id_lysi,date,volume,method,NO3_N,NH4_N,SO4,NO2_N,Chlorid,Phosphat,Bromid,Lithium,Natrium,Kalium,Magnesium,Calcium,Fluorid
1,2024-09-10,16.44,IC,33.43,0,168.77,0.57,599.75,0,0.01,0.03,79.24,368.71,76.62,363.95,0.2
2,2024-09-10,11.31,IC,85.39,0,127.04,0.06,47.32,0,0.01,0.02,16.04,11.87,26.25,229.23,0.13
3,2024-09-10,17.47,IC,18.94,0,197.21,0.99,758.45,0,0.01,0.02,85.89,386.21,87.52,350.22,0.11
4,2024-09-10,12.13,IC,49.19,0,118.14,0.16,35.81,0,0,0.02,17.4,18.04,18.87,146.82,0.16
5,2024-09-10,14.51,IC,38.31,0,204.47,0.43,786.11,0,0.01,0.03,93.16,430.52,87.6,388.11,0.21
6,2024-09-10,12.88,IC,54.84,0,126.09,0.24,36.43,0,0.01,0.02,14.62,9.86,18.46,159.88,0.17
7,2024-09-10,16.25,IC,25.25,0,184.06,1.01,709.56,0,0.01,0.03,85.26,392.92,87.81,435.38,0.18
8,2024-09-10,16.85,IC,132.62,0,114.98,0.07,36.5,0,0,0.02,15.75,13.42,28.52,274.15,0.13
9,2024-09-10,16.63,IC,25.01,0,179.1,0.91,657.28,0,0,0.03,82.39,404.79,82.31,370.62,0.27
10,2024-09-10,10.83,IC,106.28,0,123.74,0.05,29.39,0,0,0,18.81,18.22,23.62,209.68,0.16
11,2024-09-10,16.58,IC,32.02,0,196.89,0.36,687.24,0,0,0.03,83.05,361.17,78.28,334.23,0.12
12,2024-09-10,15.47,IC,121.91,0,127.35,0.06,42.33,0,0,0.02,17.95,16.75,27.46,268.45,0.14
13,2024-09-10,18.66,IC,25.73,0,218.33,0.02,889.9,0,0.01,0.03,100.05,466.52,98.96,343.99,0.07
14,2024-09-10,9.6,IC,116.32,0,157.39,0.21,33.99,0,0.01,0.02,19.91,16.87,27.74,229.26,0.15
15,2024-09-10,15.42,IC,27.49,0,221.23,0.63,839.68,0,0.01,0.03,90.25,342.89,91.39,409.41,0.17
16,2024-09-10,9.91,IC,83.65,0,151.99,0.2,33.45,0,0.01,0.02,18.85,15.71,23.12,213.29,0.18
17,2024-09-10,14.41,IC,35.03,0,232.4,0,809.5,0,0.01,0.04,93.25,340.63,92.25,390.42,0.19
18,2024-09-10,12.03,IC,35.92,0,119,0.17,31.44,0,0,0.02,16.52,17.98,15.92,141.82,0.2
19,2024-09-10,16.84,IC,34.96,0,215.04,0.53,817.55,0,0.01,0,96.74,441.67,90.43,389.8,0.19
20,2024-09-10,13.3,IC,132.43,0,135.9,0.04,42.37,0,0,0.02,19.05,13.92,27.97,261.21,0.14
21,2024-09-10,14.48,IC,24.6,0,212.34,0.37,758.44,0,0.01,0.03,87.43,320.02,83.27,408.85,0.18
22,2024-09-10,12.24,IC,55.97,0,138.87,0.04,34.4,0,0.01,0.02,18.81,21.39,18.19,166.96,0.19
23,2024-09-10,16.8,IC,25.79,0,199.49,0.93,702.67,0,0.01,0.03,84.9,347.8,82.55,377.41,0.18
24,2024-09-10,12.13,IC,45.88,0,148.41,0.03,42.87,0,0,0.02,17.97,19.67,21.52,163.38,0.17
25,2024-09-10,15.97,IC,35.1,0,221.12,0.66,787.99,0,0,0.03,88.31,352.11,92.07,444.96,0.18
26,2024-09-10,3.51,IC,72.65,0,191.94,0.15,44.01,0,0.01,0.02,25.37,17.6,25.41,178.24,0.11
27,2024-09-10,14.75,IC,33.13,0,204.84,0.42,738.96,0,0.01,0.03,85.41,347.3,84.37,389.95,0.2
28,2024-09-10,6.93,IC,126.02,0,170.92,0.18,65.93,0,0.01,0.02,23.67,18.29,34.54,249.21,0.11
29,2024-09-10,0.86,IC,3.94,0,170.95,0,788.55,0,0.19,0.02,89.74,507.78,104.8,256.54,0.05
30,2024-09-10,16.66,IC,202.93,0,133.75,0.06,69,0,0,0.02,18.82,18.82,40.35,357.79,0.13
31,2024-09-10,17.69,IC,69.14,0,58.77,0.97,679.82,0,0.02,0.03,90.93,397.16,94.33,412.3,0.18
32,2024-09-10,15.12,IC,145.37,0,145.75,0.05,66.88,0,0.01,0.03,19.61,19.21,32.45,302.74,0.15
1,2024-09-24,7.93,IC,44.06,0,160.31,0.04,587.28,0,0,0.03,78.72,386.72,83.45,255.33,0.14
2,2024-09-24,7.71,IC,89.41,0,99.39,0.03,50.37,0,0,0,11.06,8.65,24.24,257.52,0.11
3,2024-09-24,8.66,IC,27.96,0,188.21,0.07,761.1,0,0,0.03,90.57,420.63,104.65,327.72,0.06
4,2024-09-24,8.14,IC,71.39,0,103.92,0.03,38.84,0,0,0.03,12.53,12.94,17.96,177.75,0.16
5,2024-09-24,8.46,IC,64.7,0,219.37,0.02,860.8,0,0.01,0,99.2,467.98,105.56,345.83,0.07
6,2024-09-24,7.4,IC,78.36,0,109.87,0.07,39.37,0,0,0.03,9.79,7.96,18.83,176.58,0.15
7,2024-09-24,8.39,IC,39.57,0,65.71,0.02,777.1,0,0,0.03,87.83,457.9,108.15,375.54,0.05
8,2024-09-24,8.31,IC,130.76,0,86.59,0.03,45.94,0,0,0.03,10.42,9.2,24.87,254.09,0.11
9,2024-09-24,8.6,IC,37.65,0,188.18,0.09,702.32,0,0.01,0.03,86.37,425.24,94.79,280.7,0.09
10,2024-09-24,8.07,IC,0,0,105.45,0.03,32.45,0,0,0.03,12.64,10.58,21.84,228.94,0.16
11,2024-09-24,8.02,IC,42.55,0,203.15,0.21,734.86,0,0,0,85.24,377.16,88.94,305.52,0.12
12,2024-09-24,8.29,IC,130.7,0,93.14,0.03,51.64,0,0,0.03,12.94,13.27,24.07,243.13,0.13
13,2024-09-24,9.09,IC,35.49,0,221.51,0.05,885.39,0,0.01,0.03,98.39,489.69,104.31,328.2,0.07
14,2024-09-24,8.35,IC,130.43,0,115.53,0.04,36.18,0,0,0.03,13.19,10.48,23.38,231.7,0.16
15,2024-09-24,9.27,IC,43.34,0,0,0.08,899.8,0,0.01,0,94.3,394.61,105.17,395.08,0.12
16,2024-09-24,10.06,IC,107.39,0,108.87,0.04,46.23,0,0,0.03,13.49,10.75,27.36,263.78,0.11
17,2024-09-24,7.29,IC,56.91,0,0,0.09,905.89,0,0.01,0,100.42,382.13,112.88,400.09,0.11
18,2024-09-24,8.32,IC,57.9,0.06,220.65,0.09,880.84,0,0.01,0.03,10.43,10.6,20.37,198.98,0.18
19,2024-09-24,8.55,IC,62.93,0,86.43,0.03,37.27,0,0,0,101.63,500.48,106.6,364.89,0.1
20,2024-09-24,8.29,IC,0,0,96.34,0.04,47.98,0,837.77,0.03,13.86,10.77,30.25,306.88,0.08
21,2024-09-24,8.74,IC,40.22,0,215.56,0.19,839.01,0,0.01,0.02,94.71,402.74,109.15,374.33,0.06
22,2024-09-24,6.97,IC,80.19,0.01,104.28,0.04,42.51,0,0,0.03,12.34,13.69,19.94,185.97,0.12
23,2024-09-24,8.75,IC,45.71,0,216.05,0.04,807.55,0,0.01,0.03,95.08,408.99,108.94,357.23,0.06
24,2024-09-24,7.81,IC,64.93,0,109.34,0.04,61.23,0,0,0.03,12.3,11.5,22.63,177.81,0.09
25,2024-09-24,8.73,IC,52.86,0,221.22,0.07,816.25,0,0.01,0.02,94.52,412.75,111.56,369.27,0.08
26,2024-09-24,7.41,IC,102.65,0,144.41,0.03,51.45,0,0,0.03,17.94,10.24,27.41,221.8,0.08
27,2024-09-24,7.31,IC,51.3,0,217.82,0.12,831.83,0,0,0.02,95.13,412.57,109.46,363.95,0.07
28,2024-09-24,7.41,IC,162.94,0,139.91,0.03,79.87,0,0,0.03,18.3,12.8,33.65,306.02,0.08
29,2024-09-24,0.36,IC,3.36,0,132.55,0.04,657.39,0.05,0.08,0.02,76.64,393.57,93.99,193.15,0.05
30,2024-09-24,8.44,IC,206.55,0,116.27,0.06,86.38,0,0,0.03,14.09,13.5,35.88,359.34,0.06
31,2024-09-24,8.75,IC,95.71,0,206.61,0.09,747.45,0,0.03,0.04,96.77,453.85,111,354.28,0.08
32,2024-09-24,7.07,IC,163.6,0,115.73,0.04,68.69,0,0,0.03,14.99,15.41,33.7,304.27,0.07
1,2024-10-11,18.58,IC,29.59,0,153.47,0.1,556.75,0,0,0.02,73.37,386.61,75.56,296.54,0.23
2,2024-10-11,18.92,IC,41.27,0,91.39,0.04,49.33,0.01,0,0.02,7.44,4.91,20.3,236.95,0.1
3,2024-10-11,18.53,IC,24.1,0,180.81,0.09,611.84,0.01,0,0.02,85.63,439.03,101.23,353.11,0.1
4,2024-10-11,20.37,IC,80.35,0,90.69,0.03,33.45,0,0,0.02,9.49,10.13,17.95,209.19,0.14
5,2024-10-11,16.21,IC,69.14,0,212.89,0.08,814.56,0,0,0.03,98.19,482.91,105.29,404.91,0.1
6,2024-10-11,17.75,IC,55.13,0,103.03,0.03,37.41,0,0,0,7.16,6.28,16.35,176.56,0.14
7,2024-10-11,17.58,IC,37.87,0,190,0.21,674.18,0,0,0.03,88.55,469.96,107.29,433.24,0.03
8,2024-10-11,20.1,IC,101.8,0,84.77,0.03,46.52,0,0,0.02,8.17,6.58,20.41,245.55,0.11
9,2024-10-11,18.72,IC,21.51,0,180.65,0.12,617.74,0,0,0.02,83.49,410.55,88.21,327.54,0.18
10,2024-10-11,20.06,IC,68.62,0,99.99,0,34.41,0,0,0,7.78,6.56,16.24,197.19,0.11
11,2024-10-11,16.92,IC,37.22,0,187.35,0.07,627.18,0,0,0.03,81.19,369.71,81.96,328.8,0.19
12,2024-10-11,19.84,IC,87.14,0,90.02,0.04,56.71,0,0,0.02,8.73,8.08,19.27,230.45,0.1
13,2024-10-11,18.14,IC,32.86,0,209.65,0.05,726.19,0,0,0.02,91.16,472.1,92.15,343.74,0.16
14,2024-10-11,19.89,IC,95.99,0,94.5,0.04,35.89,0,0,0.02,8.84,7.97,18.91,224.53,0.14
15,2024-10-11,17.56,IC,34.03,0,216.73,0.02,776.29,0,0,0.02,89.58,393.2,96.15,392.45,0.19
16,2024-10-11,19.89,IC,99.07,0,94.73,0.04,48.71,0,0,0.02,9.45,8.61,23.94,287.13,0.1
