datetime,air_temp_mean,air_temp_min,air_temp_max,air_temp_5cm_mean,rel_air_humidity,precipitation,sunshine_duration,global_radiation,soil_temp_5cm,soil_temp_10cm,soil_temp_20cm,wind_speed_mean,wind_speed_max
2024-01-01 00:30:00,3.9,3.6,4.3,2.1,85,0,0,1,3.18,4.08,4.6,4.5,7.9
2024-01-01 01:30:00,3.8,3.1,4.1,1.7,84.4,0,0,1,3.1,4,4.6,2.5,5.8
2024-01-01 02:30:00,3.1,2.7,3.4,0.1,86.2,0,0,2,3.03,4,4.55,1.8,4.2
2024-01-01 03:30:00,4.2,3.4,4.5,2.5,83.8,0.3,0,1,3.17,4,4.5,3.1,8.5
2024-01-01 04:30:00,4,3.8,4.3,2.9,87.9,0.8,0,1,3.2,4,4.5,4.5,9.5
2024-01-01 05:30:00,4.1,3.8,4.3,2.4,85.9,0,0,1,3.2,4,4.5,2,6.3
2024-01-01 06:30:00,3.9,3.6,4.3,2,86.4,0,0,1,3.25,4,4.5,1.3,2.5
2024-01-01 07:30:00,4.6,3.8,5,2.6,79.7,0,0,1,3.3,4,4.5,2.5,6.4
2024-01-01 08:30:00,5,4.5,5.3,3,77.3,0,0,11,3.38,4.03,4.48,2.3,5.7
2024-01-01 09:30:00,5.6,5.4,5.9,4.6,73.7,0,3,63,3.58,4.12,4.5,3.6,8.7
2024-01-01 10:30:00,6.1,5.8,6.3,5.9,71.1,0,0,89,3.82,4.22,4.5,4.3,8.9
2024-01-01 11:30:00,6.8,6.5,7.1,7.2,67.7,0,1,147,4.18,4.35,4.5,4.3,9.3
2024-01-01 12:30:00,7.9,7.5,8.7,9.1,62.7,0,15,272,4.57,4.58,4.58,5.5,15
2024-01-01 13:30:00,7.9,7.2,8.8,8.7,62.5,0,15,198,4.43,4.7,4.67,5.4,11.6
2024-01-01 14:30:00,6.4,6.2,6.8,5.4,70.6,0,0,76,4.33,4.75,4.72,5.8,13.2
2024-01-01 15:30:00,6.5,6.3,6.8,5.6,70.8,0,0,64,4.23,4.8,4.8,4.7,10.4
2024-01-01 16:30:00,5.9,5.5,6.2,4,74.3,0,0,21,4,4.7,4.8,3,5.9
2024-01-01 17:30:00,5.2,4.8,5.4,1.9,77.6,0,0,2,3.73,4.62,4.8,2,4.8
2024-01-01 18:30:00,2.8,2.1,4,-0.7,89.1,0,0,2,3.52,4.47,4.8,0.6,1.7
2024-01-01 19:30:00,2.6,2.2,3.3,-0.7,90.5,0,0,1,3.35,4.37,4.8,1.3,2.2
2024-01-01 20:30:00,2.5,2.2,3,-1.7,89.9,0,0,1,3.18,4.27,4.8,0.7,1.9
2024-01-01 21:30:00,3,1.3,4.4,-1.1,87.7,0,0,1,3.12,4.15,4.73,1.8,4
2024-01-01 22:30:00,4.3,4.2,4.5,1.5,83.5,0,0,1,3.2,4.1,4.7,2.9,5.2
2024-01-01 23:30:00,3.7,3,4.1,0.9,84.1,0,0,2,3.05,4.07,4.65,2,5.2
2024-01-02 00:30:00,1.6,1.1,2.3,-1.3,91.7,0,0,2,2.95,4,4.6,0.6,2
