UID,Versuchsjahr,ParzNrFeld,Probe,Datum,LAP,NAG,GLS,MUP,MUX,NH4,NO3,Plot_Label,WiederholungNr,Kultur,Verfahren,SaatTag_DOY,SaatTag_Date,Total_N_fert_kg_ha,Total_Ertrag_HP_TS_kg_a,Total_N_Entzug_kg_ha,t2,t1,Nmin_Total,Delta_Nmin,Cum_Precip_mm,Cum_GDD_Interval,Cum_GDD_t1,Cum_GDD_t2,N_up_t1,N_up_t2,Interval_N_Entzug_kg_ha,LTE
2025_12,2025,12,A,2025-05-15,0,3.4717,15.4962,30.1242,1.9555,0.16,1.78,NA,NA,NA,Null,129.66666666666666,2025-05-09,NA,NA,83.46134273713884,2025-05-15,2025-05-09,1.94,NA,1.9,21.2,0,21.2,0.010298676998290807,0.013281601012885717,0.00298292401459491,DEMO
2025_12,2025,12,B,2025-05-15,0,4.3757,10.4645,41.4323,1.5342,0.17,1.32,NA,NA,NA,Null,129.66666666666666,2025-05-09,NA,NA,83.46134273713884,2025-05-15,2025-05-09,1.49,NA,1.9,21.2,0,21.2,0.010298676998290807,0.013281601012885717,0.00298292401459491,DEMO
2025_13,2025,13,B,2025-05-15,0,2.6427,16.3035,35.9019,2.1273,0.17,2.41,NA,NA,NA,"St,mist",129.66666666666666,2025-05-09,NA,NA,115.46794607438636,2025-05-15,2025-05-09,2.58,NA,1.9,21.2,0,21.2,0.014248118245849975,0.018374964255816827,0.004126846009966852,DEMO
2025_15,2025,15,B,2025-05-15,0,3.7065,12.4486,32.482,1.8045,0.24,2.14,NA,NA,NA,NPK,129.66666666666666,2025-05-09,NA,NA,155.60912747113593,2025-05-15,2025-05-09,2.38,NA,1.9,21.2,0,21.2,0.019201322303888303,0.024762821651984273,0.00556149934809597,DEMO
2025_16,2025,16,A,2025-05-15,0,5.955,16.3975,47.0206,2.8561,0.15,2.03,NA,NA,NA,"R,gülle",129.66666666666666,2025-05-09,NA,NA,163.12428301927574,2025-05-15,2025-05-09,2.1799999999999997,NA,1.9,21.2,0,21.2,0.020128651736221588,0.025958744150553804,0.005830092414332216,DEMO
2025_4,2025,4,B,2025-05-15,0,3.0767,11.8099,50.6729,2.2907,0.12,1.48,NA,NA,NA,Null,137.33333333333334,2025-05-17,NA,NA,201.96202265852725,2025-05-15,2025-05-17,1.6,NA,0,0,0,0,0.024921018151270694,0.024921018151270694,0,DEMO
2025_7,2025,7,A,2025-05-15,0,3.4242,17.1973,46.3904,1.7884,0.14,1.68,NA,NA,NA,NPK,137.33333333333334,2025-05-17,NA,NA,382.9403477259206,2025-05-15,2025-05-17,1.8199999999999998,NA,0,0,0,0,0.04725276183566011,0.04725276183566011,0,DEMO
2025_16,2025,16,B,2025-05-15,0,4.3641,10.7008,29.0198,3.1597,0.13,1.74,NA,NA,NA,"R,gülle",129.66666666666666,2025-05-09,NA,NA,163.12428301927574,2025-05-15,2025-05-09,1.87,NA,1.9,21.2,0,21.2,0.020128651736221588,0.025958744150553804,0.005830092414332216,DEMO
2025_4,2025,4,A,2025-05-15,0.4426,4.3898,8.8216,20.9428,1.2234,0.13,2.82,NA,NA,NA,Null,137.33333333333334,2025-05-17,NA,NA,201.96202265852725,2025-05-15,2025-05-17,2.9499999999999997,NA,0,0,0,0,0.024921018151270694,0.024921018151270694,0,DEMO
2025_5,2025,5,B,2025-05-15,0.7556,10.375,19.4923,46.6055,3.3025,0.18,2.58,NA,NA,NA,"St,mist",137.33333333333334,2025-05-17,NA,NA,318.0148743669502,2025-05-15,2025-05-17,2.7600000000000002,NA,0,0,0,0,0.03924131057982457,0.03924131057982457,0,DEMO
2025_7,2025,7,B,2025-05-15,0,5.2991,16.7065,42.0737,2.2306,0.24,1.66,NA,NA,NA,NPK,137.33333333333334,2025-05-17,NA,NA,382.9403477259206,2025-05-15,2025-05-17,1.9,NA,0,0,0,0,0.04725276183566011,0.04725276183566011,0,DEMO
2025_8,2025,8,A,2025-05-15,0,2.0321,7.8086,26.5731,1.5922,0.13,2.06,NA,NA,NA,"R,gülle",137.33333333333334,2025-05-17,NA,NA,328.2876609551491,2025-05-15,2025-05-17,2.19,NA,0,0,0,0,0.040508916725072425,0.040508916725072425,0,DEMO
