project_sample_id;LAP;NAG;GLS;MUP;MUX;Comments
BOB_05-DEMO_12A_Null;-2.9176;8.6409;24.3542;58.6685;12.7901;
BOB_05-DEMO_12A_Null_15.05.2025;-6.0345;3.4717;15.4962;30.1242;1.9555;
BOB_05-DEMO_12B_Null;inv Samp;inv Samp;inv Samp;inv Samp;inv Samp;Image alignment failed. EMPTY FOLDER POSSILBLE UPLOAD ERROR, TRY AGAIN
BOB_05-DEMO_12B_Null_12.06.2025;-7.7272;3.6693;15.4025;34.2567;2.9353; Well C4_MUP is contaminated. Well D4_MUP is contaminated.
BOB_05-DEMO_12B_null_15.5.25%2E;-12.4267;4.3757;10.4645;41.4323;1.5342;
BOB_05-DEMO_13A_St.mist_12.06.2025;-3.7097;4.2784;23.2586;48.9213;4.0424; Well D3_GLS is contaminated.
BOB_05-DEMO_13B_St.Mist_15.5.25;-5.4755;2.6427;16.3035;35.9019;2.1273;
BOB_05-DEMO_15A_NPK_10.07.2025;-3.8996;6.8771;22.3655;44.4758;5.4316;
BOB_05-DEMO_15B_NPK_07.08.2025;-6.4723;3.6308;17.6209;43.8086;2.0594;
BOB_05-DEMO_15B_NPK_15.5.25;-13.7927;3.7065;12.4486;32.482;1.8045;
BOB_05-DEMO_16A_R.guelle;8.1629;3.491;22.4309;48.4215;10.6022;
BOB_05-DEMO_16A_R.guelle_07.08.2025;-5.8016;4.8207;17.9159;40.9297;8.0323;
BOB_05-DEMO_16A_R.guelle_15.05.2025;-1.4976;5.955;16.3975;47.0206;2.8561; Well C4_MUP is contaminated.
BOB_05-DEMO_16B_guelle;0.3877;7.7128;30.4313;67.2234;11.5617;
BOB_05-DEMO_16B_R%3Aguelle_12.06.2025;-5.4903;2.5355;13.6277;42.2774;1.7139; Well E2_NAG is contaminated.
BOB_05-DEMO_16B_R.Guelle_10.07.2025;12.0752;6.807;20.1063;51.2147;5.6731;
BOB_05-DEMO_1B_PK_07.08.2025;5.0444;3.7147;12.7982;59.5114;3.3921;
BOB_05-DEMO_1B_PK_12.06.2025;4.4164;4.2977;7.0945;38.4082;4.9171;
BOB_05-DEMO_4A_Null_07.08.2025;0.4622;3.3121;12.2022;31.1223;6.6899;
BOB_05-DEMO_4A_Null_10.07.2025;-8.0733;1.9909;12.1132;11.1298;2.1013;
BOB_05-DEMO_4A_Null_12.06.2025;3.9628;2.2811;16.0979;21.1823;3.0067;
BOB_05-DEMO_4B_Null;11.8712;7.5447;27.1372;75.2443;13.7145;
BOB_05-DEMO_4B_Null_10.07.2025;-5.637;3.0263;8.6064;36.5719;1.7949;
BOB_05-DEMO_4B_Null_15.05.2025;-6.6773;3.0767;11.8099;50.6729;2.2907;
BOB_05-DEMO_5A_St.mist_10.07.2025;-14.5028;4.8288;14.466;56.7447;4.1274;
BOB_05-DEMO_5B_St.Mist;6.1948;5.4062;24.6901;68.769;12.6786;
BOB_05-DEMO_7A-NPK;1.5212;8.1386;29.8748;60.741;12.2614;
BOB_05-DEMO_7A_NPK_15.05.2025;-8.4814;3.4242;17.1973;46.3904;1.7884;
BOB_05-DEMO_7B_NPK_12.06.2025;-5.7774;2.3495;13.0822;21.5263;1.746;
BOB_05-DEMO_8A_R.guelle_10.07.2025;-10.0883;7.1419;14.1594;59.1703;5.3585;
BOB_05-DEMO_8A_R.guelle_12.06.2025;-2.528;6.3424;20.4853;47.4793;2.7239;
BOB_05-DEMO_8B_R.guelle_07.08.2025;-8.5182;4.3403;18.3739;43.1284;3.284;
BOB_05-DEMO_9A_PK_07.08.2025;12.4898;5.4651;10.1062;51.8595;2.782;
BOB_05-DEMO_9A_PK_10.07.2025;2.0369;4.3048;15.6754;57.9987;3.095;
BOB_05-DEMO_9B_PK_07.08.2025;9.1227;3.612;12.3776;51.5462;4.5076; Well D3_GLS is contaminated.
BOB_06-DEMO_12A_Null_07.08.2025;-3.31;2.8079;19.1519;51.7312;1.6563;
BOB_06-DEMO_12A_Null_10.07.2025;-7.279;4.9333;13.1956;27.164;2.1627;
BOB_06-DEMO_12A_Null_12.06.2025;-9.7686;4.491;11.4734;32.2861;1.7765;
BOB_06-DEMO_12B_Null_07.08.2025;-2.7457;7.8078;18.5388;69.4245;3.4347;
BOB_06-DEMO_13A_St.mist;5.951;10.0913;27.1563;88.2026;15.7574;
BOB_06-DEMO_13A_St.mist_10.07.2025;-14.3662;6.5194;15.2819;58.9667;3.7946;
BOB_06-DEMO_15A_NPK_07.08.2025;-11.3903;5.5519;14.1056;34.0533;2.1764;
BOB_06-DEMO_15B_NPK;-8.7402;9.2324;37.1908;74.7561;17.2861;
BOB_06-DEMO_15B_NPK_10.07.2025;-14.3594;3.2289;15.1471;56.9261;2.3049;
BOB_06-DEMO_15B_NPK_12.06.2025;-6.9355;5.3582;21.9963;42.4333;2.5302;
BOB_06-DEMO_16A_R.guelle_12.06.2025;-3.7021;5.4844;14.8629;38.3039;4.0267;
BOB_06-DEMO_16B_R.guelle_15.5.25;-10.284;4.3641;10.7008;29.0198;3.1597;
BOB_06-DEMO_1A_PK_07.08.2025;7.4839;5.9105;21.3853;65.613;2.7171;
BOB_06-DEMO_1A_PK_12.06.2025;6.6118;5.6106;17.491;42.818;3.2271;
BOB_06-DEMO_1B_PK;11.4864;10.4064;41.3305;81.2329;15.1203;
BOB_06-DEMO_4A_Null_15.05.2025;0.4426;4.3898;8.8216;20.9428;1.2234;
BOB_06-DEMO_5B_St.mist_10.07.2025;-8.6884;6.8154;18.0738;46.2614;5.002;
BOB_06-DEMO_5B_St.mist_12.06.2025;5.635;5.2623;22.5898;47.1518;3.914;
BOB_06-DEMO_5B_St.mist_15.05.2025;0.7556;10.375;19.4923;46.6055;3.3025;
BOB_06-DEMO_7A_NPK_07.08.2025;-11.752;4.4055;27.9011;67.6334;2.3765;
BOB_06-DEMO_7A_NPK_10.07.2025;-19.7559;4.5654;17.4801;52.0358;2.88;
BOB_06-DEMO_7A_NPK_12.06.2025;-3.7408;4.4079;20.1245;30.3222;2.4868; Well C3_GLS is contaminated.
BOB_06-DEMO_7B_NPK;-1.8396;9.3081;35.0362;80.0637;14.2523;
BOB_06-DEMO_7B_NPK_07.08.2025;-2.8035;5.4832;23.4647;30.7705;2.4282;
BOB_06-DEMO_7B_NPK_15.05.2025;-1.9958;5.2991;16.7065;42.0737;2.2306;
BOB_06-DEMO_8A_R.guelle_07.08.2025;-7.5471;4.5338;17.2458;73.9532;3.9235; Well E2_NAG is contaminated.
